,titles,replies,views,category
0,"New Help Section for New Creators (and those looking for a refresher)
94,"Artsplaining, my casual tutorials for making comics and that",32,81,Art|Comics
95,How to get more subscribers on Webtoon,287,557,Art|Comics
96,Adapting to future Instagram changes,4,250,Art|Comics
97,Let’s draw each others characters!,73,345,Art|Comics
98,I made a Manga Panel Generator,10,259,Art|Comics
99,Lista de Cómics en español / List of Comics in Spanish,97,20.0k,Art|Comics
100,Can artists boycott social media…?,25,177,Art|Comics
101,A question for those of us with a comic buffer/backlog,136,133,Art|Comics
102,Do you ever feel like your art style is just unimpressive…?,69,386,Art|Comics
103,Anybody on Medibang ArtStreet?,419,217,Art|Comics
104,Changes my series cover! Any opinion,4,117,Art|Comics
105,Because i’m probably gonna redo it as a comic,101,62,Art|Comics
106,Thoughts on this cover I made?,19,154,Art|Comics
107,Coming out of Hiatus,230,84,Art|Comics
108,I’ll draw your OCs! [5/5] (not closed),0,287,Art|Comics
109,The webcomic that got away,35,130,Art|Comics
110,Show me your out of context concept art!,7,150,Art|Comics
111,Let’s do SPECIAL art trades!,84,271,Art|Comics
112,I just updated! Any recent updates post your stories,1,432,Art|Comics
113,Voting Polls (How many subscribers/views do you have on your first week/first month on Tapas and Webtoon?),48,74,Art|Comics
114,Out of context panel time!,12,150,Art|Comics
115,A problem with the cover,156,97,Art|Comics
116,"People with patreon, how do you upkeep it?",5,270,Art|Comics
117,Do you like to go all out in your illustrations? ♡,115,182,Art|Comics
118,What are songs that represent important characters in your comic?,8,73,Art|Comics
119,What unnecessary details you obsess over when making your comic?,94,178,Art|Comics
120,I did a video thinggg,7,85,Art|Comics
121,"Advertise your own comics here, show the rest of the forum!",151,23.0k,Art|Comics
122,My comic is a staff pick!,81,214,Art|Comics
123,Which thumbnail do you prefer?,829,76,Art|Comics
124,Background character cameos?,4,136,Art|Comics
125,What are some things to draw?,104,118,Art|Comics
126,Favorite Tools of the Trade: Pen Edition,15,253,Art|Comics
127,Cat Club Q&A (questions needed),216,106,Art|Comics
128,Give me furry novel/comics suggestions!,39,814,Art|Comics
129,Pride month art ? Share it away <3,311,324,Art|Comics
130,I am revamping my comic Open Flame. Just give me a some more months! ;),27,53,Art|Comics
131,"What’s a reasonable page rate for a small, local comic publisher?",148,95,Art|Comics
132,How I make Simple Speech Bubbles (Tutorial),122,183,Art|Comics
133,How long does it take you to fully draw a page?,5.4k,243,Art|Comics
134,Traditional Media Comics,45,68,Art|Comics
135,Show me your covers for your comics!,1.6k,339,Art|Comics
136,Cover Art + Illustrations for My Work,0,257,Art|Comics
137,"After Art block, what strategies do you use to start your comic again?",52,139,Art|Comics
138,Enjoy True feels on publishing in a sea of content,4,129,Art|Comics
139,Holding back on character designs for the artist’s sake?,87,203,Art|Comics
140,"At a crossroads, thinking about why I’m doing",15,122,Art|Comics
141,I want to draw your Miis!,130,116,Art|Comics
142,More out of context panels! post yours if you want lol,6,89,Art|Comics
143,Trying New Render Styles: Opinions?,117,137,Art|Comics
144,Instagram: @nikolasgoncalves71,4,82,Art|Comics
145,I need to know what is the usual or average rate for comic artists in USA,73,89,Art|Comics
146,What can you tell me about my character just from the concept art?,1,111,Art|Comics
147,Got any Comic Hacks?,47,209,Art|Comics
148,Comic Creators Chat Videos/Podcasts!,75,62,Art|Comics
149,Would you consider your art style Western/European?,810,1.3k,Art|Comics
150,How do I make my cover for my novel more professional?,343,204,Art|Comics
151,Sharing a page from my Webtoon!,3.8k,73,Art|Comics
152,Could you critique these robot children for me pleeeez,7,108,Art|Comics
153,How do you script an action sequence/fight scene?,108,149,Art|Comics
154,Publishing is HARD,8,286,Art|Comics
155,Comics with/about goblins?,86,124,Art|Comics
156,I need an honest opinion!,12,117,Art|Comics
157,Having trouble with CSP!,192,67,Art|Comics
158,Are Doujinshi’s allowed to be published on webcomic sites?,7,100,Art|Comics
159,Fave things to draw?,985,181,Art|Comics
160,1990s art style,9,176,Art|Comics
161,Let me draw you’re oc,164,168,Art|Comics
162,Showcases and WIPs of anthro comic ‘MAOR’,345,455,Art|Comics
163,“For Exposure” Work,3.3k,300,Art|Comics
164,"I’m doing the thing that artists hate to do, y’all. I’m offering to draw you for free (3/3 slots taken)",19,124,Art|Comics
165,Tools for Building 3D Environments?,163,430,Art|Comics
166,Has someone ever traced you’re work,15,173,Art|Comics
167,When does a Homage become Plagiarism?,143,160,Art|Comics
168,Can someone help with this angle?,0,118,Art|Comics
169,LOSTLAND | Guest Art Deadline Reminder,55,257,Art|Comics
170,Drawing Requests! [OPEN],3,91,Art|Comics
171,5TH Anniversary Oh My Ghost~!,70,101,Art|Comics
172,Tried actually drawing the eye stuff,5,85,Art|Comics
173,How do I do commissions? Could you all lend me some knowledge?,60,177,Art|Comics
174,"Trying a comeback, and a non-traditional art style",32,278,Art|Comics
175,What are you working on rn?,506,279,Art|Comics
176,Old flash animation vibes,5,62,Art|Comics
177,I’m Hosting a Author Q&A for my Manga,100,98,Art|Comics
178,Tips for dialogue in comic,4,179,Art|Comics
179,Art requests for y’all (+ feel free to promote your series),144,495,Art|Comics
180,Who does weekly updates? >> UPDATE: WEEKLY PAGE LIVE!,75,1.5k,Art|Comics
181,"I’ll draw your oc’s [2/2 closed, for now atleast]",633,207,Art|Comics
182,Celebrate with me and share your comics!,1,135,Art|Comics
183,SHARE YOUR COMIC HERE! Get a free follow from me!,47,52,Art|Comics
184,Recommend me some LGBT comics,2,271,Art|Comics
185,Got some action in the next chapter! Woo!,84,52,Art|Comics
186,Artist! Post a preview panel of your unreleased comic pages!,19,255,Art|Comics
187,One off funnies! unrelated humor,183,66,Art|Comics
188,I made a new cover and thumb for my comic. Show me yours!,2,80,Art|Comics
189,A quick tip for drawing noses in the manga style,81,128,Art|Comics
190,Thank you kindly for (almost) 100 views!,5,48,Art|Comics
191,A quick tip for drawing ¾ head shots,557,89,Art|Comics
192,Tapas vs Webtoon?,8,773,Art|Comics
193,"Spam bots in a nutshell, just wanna meme a bit XD",250,352,Art|Comics
194,Webtoon Episode Length,45,195,Art|Comics
195,Do any of you guys do supplementary content for your comics?,345,226,Art|Comics
196,Webtoon Confuses Me,8,643,Art|Comics
197,Writer/artist anxiety,259,429,Art|Comics
198,It feels so great to make a mini comic again!,67,65,Art|Comics
199,"I have no impulse control! Wheeeeee! (Art trades, 2/3 slots taken)",20.0k,204,Art|Comics
200,First attempt at vector art,7,86,Art|Comics
201,Your D&D character,177,453,Art|Comics
202,Clip Studio & Affinity sale- Summer 2021,10,68,Art|Comics
203,Fairy Stepmother reached 50 subs!,133,62,Art|Comics
204,What’s the big deal with consistent release schedule?,32,318,Art|Comics
205,How do I draw fairytale characters?,386,137,Art|Comics
206,Scanning watercolors,7,191,Art|Comics
207,How do you write a knight’s school/adventurer’s guild?,217,89,Art|Comics
208,Share the wonderful fan art you’ve received!,19,986,Art|Comics
209,Haven’t drawn in a long time. Taking requests!,117,110,Art|Comics
210,"Which is best - frequent updates with less pages, or the opposite?",0,89,Art|Comics
211,Do you do a buffer? - Update!,62,277,Art|Comics
212,Anyone managing three or more comics at a time…?,10,259,Art|Comics
213,Project tasks your brain hasn’t registered as “complete” yet,154,90,Art|Comics
214,Critique My Artworks,4,79,Art|Comics
215,Tell me your top 3 inspirations that led to the creation of your own webcomic!,84,1.2k,Art|Comics
216,Feel free to ask me comic related questions (I’m a featured original webcomic artist),37,796,Art|Comics
217,Advice or videos on how to ink a loose sketch?,287,169,Art|Comics
218,What unique processes does your comic have?,2,281,Art|Comics
219,Review my story for a manga contest,130,145,Art|Comics
220,"Got a recent, unpublished panel that you just really want to share…?",17,69,Art|Comics
221,Show your villains and promote!,150,100,Art|Comics
222,Subs under 50 promote here,47,1.2k,Art|Comics
223,Latest Art collab with my friend,271,55,Art|Comics
224,Share your main character art,40,904,Art|Comics
225,Random Artwork For Your Series,432,399,Art|Comics
226,GL GxG showcase,4,550,Art|Comics
227,iPad Clip Studio Paint users: why can’t I color pick anymore?!,74,64,Art|Comics
228,A Guide to Assembling a Pitch Packet,10,250,Art|Comics
229,Let me sketch your characters,150,284,Art|Comics
230,What artists does your style look like the most?,4,202,Art|Comics
231,How complex are your final sketches before line art?,97,311,Art|Comics
232,Are there any things that you’re afraid to tackle when making comic (but need to anyway)?,17,280,Art|Comics
233,Manga concept - Gorilla: The manga withno humans,270,75,Art|Comics
234,Post your improvement!,31,274,Art|Comics
235,Me and my friends are starting a WEBTOON!,182,133,Art|Comics
236,Missing brushes in Clip Studio Paint,7,77,Art|Comics
237,"Share your cute-but-creepy comic, characters, etc! 🦄☠",73,608,Art|Comics
238,Hello I would like to share my comic : ),14,47,Art|Comics
239,Poorly describe your art style,178,1.9k,Art|Comics
240,[MATURE] Your kinks in Your minicomic,6,118,Art|Comics
241,Wondering about creating a comic,85,120,Art|Comics
242,Webmanga aproach,615,126,Art|Comics
243,How can I try to aim for more fluid poses?,23.0k,211,Art|Comics
244,I hate choosing fonts so much (help?),15,222,Art|Comics
245,Traditional or Digital?,214,1.0k,Art|Comics
246,Tapas reviewer for smaller creators on Youtube?,2,88,Art|Comics
247,Niche art memes,76,146,Art|Comics
248,Wuxia artist inquiry update… artist found.!,11,121,Art|Comics
249,How do you map out your (fictional) cities?,136,135,Art|Comics
250,5 faces a day challenge,15,126,Art|Comics
251,5-Color Art Challenge,118,454,Art|Comics
252,Using Multiple Sketchbooks,27,249,Art|Comics
253,What’s something you may never attempt to draw again?,253,183,Art|Comics
254,Our new thumbnail,4,76,Art|Comics
255,A new strategy for increasing motivation,106,142,Art|Comics
256,Need Help coming up with Name for Alien Empire that starts with “Z”,33,142,Art|Comics
257,Comic Strip Arcs,814,123,Art|Comics
258,Mermay Winners?,24,98,Art|Comics
259,Art dump for artists,324,102,Art|Comics
260,What gives comic artists feelings of power?,0,349,Art|Comics
261,How specific do you get with your worldbuilding?,53,249,Art|Comics
262,Press Start! (Gaming comics ),3,926,Art|Comics
263,Artist’s wild imagination! [Art & Promotion],95,69,Art|Comics
264,Let’s draw each others comics,18,553,Art|Comics
265,"I drew the cast of SHILO as worms on strings, I challenge you to do the same",183,307,Art|Comics
266,Tips for Comic Book Covers,29,1.3k,Art|Comics
267,Extreme art comparison (mid 90’s art),243,199,Art|Comics
268,Drawing Tips: 6 Steps to Draw Anything,2,90,Art|Comics
269,"Art trade, anyone? (3/3 slots filled FULL)",68,328,Art|Comics
270,Share sum of your art tips over here ✍(◔◡◔),47,71,Art|Comics
271,The creep novels,339,74,Art|Comics
272,If a webcomic you were reading got a reboot/rewrite would you check it out?,6,207,Art|Comics
273,So I made this?,257,123,Art|Comics
274,Do you ever make MEMES with your characters? POST YOUR BEST MEMES HERE!,12,9.6k,Art|Comics
275,How do you like to look at reference while you draw?,139,292,Art|Comics
276,How do you draw nice shapes in digital drawing?,2,236,Art|Comics
277,Artists support artists discord server!,129,257,Art|Comics
278,Drawing References - Tips for Using References in Your Art,12,73,Art|Comics
279,How to Promote Upcoming Webcomic?,203,131,Art|Comics
280,So i make tiny pics for thethumbnails,6,90,Art|Comics
281,Canonity question on storyline and characters,122,107,Art|Comics
282,I drew peeps oc’s,4,193,Art|Comics
283,How do I get an art style similar to this?,116,386,Art|Comics
284,Would like to read some “Badass” comics,2,96,Art|Comics
285,"Spcae Pirate 17, comic read for read!",89,42,Art|Comics
286,"DEAR WEBCOMIC ARTISTS: If you accept Fanart, please drop your links!",6,387,Art|Comics
287,Possible upcoming webcomic,137,129,Art|Comics
288,Shonen girls who shine…or lack thereof,0,301,Art|Comics
289,How Do You Draw Eyebrows?,82,197,Art|Comics
290,Memorial Day Trilogy,2,53,Art|Comics
291,Mermay 2021 Showcase,89,962,Art|Comics
292,Show me a frame from your comic you spent the most time on it,3,324,Art|Comics
293,Designing Character Tips and Tricks!,111,134,Art|Comics
294,Been a long time…art improvement and new art style,11,157,Art|Comics
295,"Process, Expectations, and Burn Out",209,190,Art|Comics
296,Creating a comic is lowkey ruining comics for me,2,453,Art|Comics
297,Going for a “funny” effect. Not sure how to push it. Could it be “funnier?”,62,231,Art|Comics
298,Got an update cause i do!,63,70,Art|Comics
299,Humanize my animal ocs,1.3k,71,Art|Comics
300,Mermay? only 143 submission what,25,172,Art|Comics
301,Do you have animations for your webcomic? Show them here!,204,1.2k,Art|Comics
302,New year new start share if your write novels or poetry :3,1,1.1k,Art|Comics
303,Help with anatomy,73,185,Art|Comics
304,Tough Stuff: Boobs (SFW),4,447,Art|Comics
305,Starting is scary… how to keep spirit up,108,210,Art|Comics
306,Question about update schedule,17,141,Art|Comics
307,I need help making my files smaller!,149,86,Art|Comics
308,ARTIST UNITED (i’ll draw and we chat) (read more),6,183,Art|Comics
309,Has anyone tried realistic paint studio?,286,182,Art|Comics
310,Share old art of your characters or book covers that have changed since,9,295,Art|Comics
311,[Closed] I’ll doodle your character! (6/5),124,293,Art|Comics
312,Should I post two short comics as one series?,6,77,Art|Comics
313,Lookie at What I Made!,117,142,Art|Comics
314,"I make my webcomic on my phone (ibispaint), who else?",1,103,Art|Comics
315,Someone reposted my art to e621….?,67,137,Art|Comics
316,What is your comic process?,3,304,Art|Comics
317,Need to practice! Taking requests!,100,250,Art|Comics
318,Why does my Art look significantly Downgraded when I upload to Tapas?,31,150,Art|Comics
319,Completed free BL comic recommendations,181,328,Art|Comics
320,Places to Promote your Comic/Novel and Your Take on there Effectiveness,8,473,Art|Comics
321,Sigil Sundays! I’m feeling Witchy!,176,170,Art|Comics
322,Art Trade Open! I will post your art in my comic!,13,192,Art|Comics
323,What’s your favorite part of your current page?,168,214,Art|Comics
324,Share your problems and give solutions!,21,191,Art|Comics
325,Half-way into my 1st Chapter,455,141,Art|Comics
326,Should I do two or three comics at once?,38,322,Art|Comics
327,Who else has got an art Tumblr?,300,211,Art|Comics
328,Share your Tips!,10,111,Art|Comics
329,Artists! What are your favorite stretches/ excercises?,124,83,Art|Comics
330,Hello there! new creator here. i’m the creator of worldchain,18,179,Art|Comics
331,Regular or Stylized? Which do you prefer?,430,180,Art|Comics
332,Artist Self-Care Tips,14,267,Art|Comics
333,Share your most wholesome comic,173,178,Art|Comics
334,Are you a reader or creator?,11,223,Art|Comics
335,What was your “Want to make comics!” moment?,160,247,Art|Comics
336,I need drawing practice. Let me draw your characters!,2,3.8k,Art|Comics
337,Oc drawing chain!,118,910,Art|Comics
338,Drawing Your Original Characters!,13,454,Art|Comics
339,Would you like to read my webtoon?,257,66,Art|Comics
340,Total days in your stories,3,387,Art|Comics
341,"Leaving my job for art, advice?",91,210,Art|Comics
342,Share Your Among Us Fanart!,4,1.9k,Art|Comics
343,Best mix for sun kissed or olive skin to avoid looking like an orange,101,163,Art|Comics
344,Playing the long game,2,141,Art|Comics
345,Story ideas and chat,85,98,Art|Comics
346,Webtoon artist who creates their comics traditionally? (using paper),19,9.3k,Art|Comics
347,Is he hot? I need some help,177,552,Art|Comics
348,Any Webtoon peeps tried the new thumbnail type yet?,13,281,Art|Comics
349,Share your worst to best artwork,278,211,Art|Comics
350,I’m looking for scary comics to read!,26,179,Art|Comics
351,Cover differs from actual comic panels,279,206,Art|Comics
352,Vertical Comic Scripts?,0,92,Art|Comics
353,I will draw backgrounds for 1 person,62,75,Art|Comics
354,I made series logos,2,106,Art|Comics
355,Who else suffers with this weekly update thing ruining the pacing?,98,419,Art|Comics
356,Artists with BIG displays! Do you like using them?,7,172,Art|Comics
357,How do you guys do it,179,207,Art|Comics
358,I got into drawing late,69,112,Art|Comics
359,Mossiroots Funzies Drawings (requests open),495,108,Art|Comics
360,I want to draw/sketch your Original Characters (10 slots) (Closed),72,469,Art|Comics
361,Opinion on unsolicited critiques?,1.5k,461,Art|Comics
362,Cosplay discussion thread!,26,1.4k,Art|Comics
363,Which Chapter 1 idea should I go with for my upcoming comic?,207,110,Art|Comics
364,Background art thread? Post stuff you’re proud of!,24,328,Art|Comics
365,Do I take my chances at creating the world’s greatest fight scene?(POLL),135,181,Art|Comics
366,How do you get better at digital sketching?,0,265,Art|Comics
367,Looking for romance and comedy comics,52,156,Art|Comics
368,Anyone up for some small art trades? [Part 2 electric boogaloo],22,410,Art|Comics
369,Tapas Ad Revenue Versus Webtoon Ad Beta Program,271,123,Art|Comics
370,What’s the most difficult thing to describe?,4,171,Art|Comics
371,What is your series theme?,52,271,Art|Comics
372,Do you have a cute animal mascot show me,29,164,Art|Comics
373,"Novel Writers That Struggle With Art, Post A Cover You’re Proud Of!",255,128,Art|Comics
374,What art quirks that make or break your process?,3,143,Art|Comics
375,Which cover do you like?,66,240,Art|Comics
376,How do you guys draw your comics?,10,237,Art|Comics
377,I want to sketch your OC! (5/5 completed) (CLOSED),80,348,Art|Comics
378,What’s it like on Artstation?,7,182,Art|Comics
379,Drawing characters together (yours and mine >.>),128,282,Art|Comics
380,I’ll draw your character CLOSED,0,499,Art|Comics
381,Artists- what are your favorite kinda scenes to draw?,48,181,Art|Comics
382,What’s your next subscriber/views milestone? (Post your work!),1,3.9k,Art|Comics
383,Recommendation Thread! (Comics OR Novels),89,1.4k,Art|Comics
384,For the Shonen lovers… How many arcs?,43,145,Art|Comics
385,I’m going to post summaries of the 5 stories so far:,773,173,Art|Comics
386,How did you overcome same face syndrome,14,183,Art|Comics
387,I need help looking for a certain comic,352,74,Art|Comics
388,Do you ever feel bad about redesigning a character?,13,124,Art|Comics
389,Reworked sypnoses,195,104,Art|Comics
390,An update! (really just showing off my mermay cause i couldn’t wait),22,56,Art|Comics
391,Free mermaid models for may!,226,130,Art|Comics
392,Advice on 3/4th face views?,28,198,Art|Comics
393,Gonna attempt a mermay but i need help,643,62,Art|Comics
394,How do you handle last names for characters?,34,216,Art|Comics
395,LGBTQ+ perspective on BL/GL (+lgbt comic promos),429,4.4k,Art|Comics
396,Your Favorite and Least Favorite Genre to write,1,181,Art|Comics
397,Forgotten Comic,65,111,Art|Comics
398,Which one of these comics should I work on first?,14,144,Art|Comics
399,Why did you start your comic?,204,503,Art|Comics
400,Which art programs do y’all use?,0,399,Art|Comics
401,Any ElfQuest fans in here?,86,100,Art|Comics
402,Show me your comic merch!,16,284,Art|Comics
403,Reminder that text is part of the panel design,453,166,Art|Comics
404,May 2021 invite! Welcome to LGBTapas!,2,322,Art|Comics
405,HELP ! I need advice on haters comments,68,522,Art|Comics
406,Favorite Clip Studio Paint Brushes?,2,226,Art|Comics
407,"Dirty little secrets, shortcuts and process",62,158,Art|Comics
408,A middle ground between vertical format and traditional comic format?,35,333,Art|Comics
409,Comics that address drug abuse and its consequences,318,76,Art|Comics
410,I need help! comic posted without permission,9,258,Art|Comics
411,Post your Art/Sketch Thread!,137,341,Art|Comics
412,Just added a banner to my series! Show me yours :D,15,155,Art|Comics
413,SCROLL ARTISTS! Does not having a “book” bother you?,191,185,Art|Comics
414,Drawing courses and daily warm up,4,88,Art|Comics
415,Do You Have a Character You Wish Would Just Die Already?,89,197,Art|Comics
416,How do you push yourself in your character design and art?,69,264,Art|Comics
417,Have a sexy girl character I’ll draw them in a pinup,986,211,Art|Comics
418,"How many comics do you follow, how many do you actually read?",5,293,Art|Comics
419,What do I do with a completed comic promotion-wise?,110,176,Art|Comics
420,"Looking to read some comics and novels(Horror, Scifi, and Fantasy only)",3,244,Art|Comics
421,Is there more I could be doing with the scroll format?,89,104,Art|Comics
422,What do you think,30,275,Art|Comics
423,Name suggestions,277,78,Art|Comics
424,"Making friends, writing and translating",33,91,Art|Comics
425,Post your character sheets!,259,299,Art|Comics
426,Comics Under 20 Episodes!,2,94,Art|Comics
427,Share your artfol!,90,606,Art|Comics
428,Looking Toward the Future: Turning my novel into a comic,3,108,Art|Comics
429,May Prompt Drawing Challenge! Do it with me,79,83,Art|Comics
430,My webcomic if animated🤔,71,130,Art|Comics
431,Draw this angel in your style,1.2k,148,Art|Comics
432,Art Studies/Exercises~,59,5.3k,Art|Comics
433,What’s the worst commission experience you had,796,304,Art|Comics
434,Artistic Handicaps,12,188,Art|Comics
435,"Show me your art with a narrative, riddles, or metaphors!",169,106,Art|Comics
436,How to not be “precious” with your drawings?,24,219,Art|Comics
437,(voting poll) Will you advertise your comic on Tapas and Webtoon to be featured on staff picks/front page even if it cost you $500- $1000?,281,269,Art|Comics
438,Echoes from the Void,1,86,Art|Comics
439,How do i draw pushed back hair for my main character and how do i make him look hot,145,144,Art|Comics
440,Jealousy ruins everything,2,571,Art|Comics
441,Spring Promotion,69,62,Art|Comics
442,Share Secrets/Foreshadowing hidden in your Comic’s Background Art,14,245,Art|Comics
443,Tips for starting a comic? Let me know!,100,178,Art|Comics
444,Art programs for linux Ubuntu,117,71,Art|Comics
445,Is my art ok? Please check my art to for correction in my comic,1.2k,195,Art|Comics
446,Morcster Chef: An orc chef!,0,112,Art|Comics
447,Lets reach our personal monthly views milestone!,55,77,Art|Comics
448,"(T/F): ‘To make something look cool, you have to be ready to accept it being a little goofy’",108,151,Art|Comics
449,Help! how do i draw different buildings and backgrounds,904,110,Art|Comics
450,Which Art Program/App you use?,26,163,Art|Comics
451,That weird thing that makes your character,399,120,Art|Comics
452,Fruit suggestions for a cute girl theme on Twitter,18,112,Art|Comics
453,Opinions! Is this drawing good?,550,178,Art|Comics
454,Webtoon Artist Needed (Paid Position),3,139,Art|Comics
455,Who are your TOP 3 favorite artists of all time?,64,130,Art|Comics
456,Cici’s Request Roulette: Gamble At Your Own Risk,7,5.9k,Art|Comics
457,Cameos for Hollow Creek ( Remade ),250,56,Art|Comics
458,Appreciating Traditional Art,33,473,Art|Comics
459,What’s the most common facial expression in your comic?,284,282,Art|Comics
460,Your Character’s Head-to-Body Ratio (Body Proportion),23,481,Art|Comics
461,"What if Webtoon/Tapas hosted a contest where readers will vote who’ll win, will you join?",202,154,Art|Comics
462,Critique my new comic page,27,94,Art|Comics
463,Looking for cameos for my one shot,311,288,Art|Comics
464,Tapas vs Webtoon(And the sub gap between them),29,890,Art|Comics
465,"Thousands of bad comics on the main site, why are there so many of them?!",280,960,Art|Comics
466,What’s your work routine?,1,182,Art|Comics
