,titles,replies,views,category
32,My novel isn’t showing up on the site,3,92,Tech Support
33,Suggestion: bring different languages to the page,148,75,Tech Support
34,How long does it take Tapas to answer an email?,8,95,Tech Support
35,Episode number out of order,46,46,Tech Support
36,“Descending order” series setting does not “start readers from your most recent episode”,5,267,Tech Support
37,Is there anyway to report a page missing on an official comic?,131,80,Tech Support
38,Again no ink for reading (5 vs 200 episodes require),2,85,Tech Support
39,Images broken in comics,48,45,Tech Support
40,Posting on pages error,36,46,Tech Support
41,My Account Milestone was resetted,486,206,Tech Support
42,Forgot both email and backup email for sign in,3,48,Tech Support
43,Can’t see novels on app,183,56,Tech Support
44,Error when I preview,3,75,Tech Support
45,CSP Text tool help,67,82,Tech Support
46,Can’t get in contact with tech support for a bug on my creator’s page. Help!,14,152,Tech Support
47,Is there a problem in Tapas APP?,1.2k,97,Tech Support
48,I badly need some help. Can anyone hear this out?,0,104,Tech Support
49,Ad revenue stalled entirely?,43,706,Tech Support
50,Why is the uploader adding size to my files?,49,112,Tech Support
51,Novel updated a few hours ago not appearing in FRESH tab,420,92,Tech Support
52,Can’t comment / write wall posts,6,118,Tech Support
53,Missing Page in Mature “Undercover Partners”,90,88,Tech Support
54,Comics Feed Needs Tweaking,0,161,Tech Support
55,Episode descriptions no longer on app,67,88,Tech Support
56,My novel isn’t showing up both on the app and website whenever I search for it,23,87,Tech Support
57,Feature Request: User Wall Likes,356,139,Tech Support
58,Overlapping things and mismatched info about “free ink for read” in app,3,94,Tech Support
59,Do you see my novel on the app?,112,65,Tech Support
60,"Help with summary link, please",4,93,Tech Support
61,Downloading Episodes not Progressing,54,165,Tech Support
62,Size guideline “No height limitation ?”,20,394,Tech Support
63,Unable to see episode previews,549,87,Tech Support
64,Paranormal/Supernatural Genre Addition,10,218,Tech Support
65,Mature section is missing,92,99,Tech Support
66,Not showing up under comedy tab when searching,2,164,Tech Support
67,Tapas support is not responding to a ticket about transactions?,75,104,Tech Support
68,Milestone Issues,7,130,Tech Support
69,Changed description doesn’t show up in the /info link,95,53,Tech Support
70,Haven’t received Ink,0,164,Tech Support
71,Tapas blocked my whole series,46,445,Tech Support
72,Why are the views data not synchronized simultaneously?,3,58,Tech Support
73,Unable to remove Ads or Support?,267,95,Tech Support
74,Chapters not marking as read,2,310,Tech Support
75,Likes don’t match,80,70,Tech Support
76,Why is there no SoundCloud support for the mobile app?,1,84,Tech Support
77,Tapas Notifications set as “Alarms”?,85,154,Tech Support
78,Files are compressing on me,0,168,Tech Support
79,I don’t get the library system at all,45,157,Tech Support
80,Unlink Facebook,0,160,Tech Support
81,Ink Goal Limit or Bug?,46,78,Tech Support
82,Something wrong with my milestones,18,158,Tech Support
83,Fortune Cookie does not show up in the app,206,64,Tech Support
84,Novel not showing up under Fresh (or anywhere),1,124,Tech Support
85,Notifications not working correctly (both PC and mobile),48,39,Tech Support
86,Comic is not shown,3,155,Tech Support
87,Comic can not be found anymore in any category,56,180,Tech Support
88,"Tapas app doesn’t open novel, after loading it close itself",4,77,Tech Support
89,Issue with logging into account (iOS and PC),75,104,Tech Support
90,I can’t log in Tapas through Tapas mail after I update the app. Anyone here help me 😭,4,77,Tech Support
91,Unable to leave comments or replies,82,751,Tech Support
92,Possible Hiatus Header?,9,194,Tech Support
93,Reward Status missing,152,63,Tech Support
94,Suggestion: share thumbnail for novels,2,68,Tech Support
95,Issue after changing order of the episodes,97,72,Tech Support
96,How do I get the Ink button?,8,133,Tech Support
97,I never see my comic on the fresh new release pages,104,383,Tech Support
98,Is there a problem with revenue transfers?,48,78,Tech Support
99,My Dashboard Milestones are bugged,706,88,Tech Support
100,Visual Bug: Comments section,9,118,Tech Support
101,Invisible Comic - Doesn’t show up by new,112,125,Tech Support
102,Feedback: Tab Indentation when Editing in the Text Editor,9,97,Tech Support
103,"Today I got “2 free episodes of Drakkon gift” in Inbox, after claiming it, I got only one episode",92,63,Tech Support
104,Anyone else not able to see Previews of their comic pages suddenly…?,7,56,Tech Support
105,Am I supposed to see this?,118,229,Tech Support
106,Private Lounge?,2,129,Tech Support
107,Suggestion for a mobile site,88,111,Tech Support
108,Blocking on forum?,6,134,Tech Support
109,Reporting SPAM content,161,219,Tech Support
110,How do I delete an episode that doesn’t Show on Dashboard?,7,84,Tech Support
111,[APP] Add Setting > Double-Tap right side to go to next chapter,88,102,Tech Support
112,Anyone noticing Likes and Comments disappearing from their comic,10,84,Tech Support
113,Nevermind figured out why,87,82,Tech Support
114,New Updates on Site,7,124,Tech Support
115,Thank you so much for the dashboard update!,139,123,Tech Support
116,Calendar Update Thank you,1,84,Tech Support
117,Weird Unsub glitch,94,101,Tech Support
118,Did not recieve free ink and customer service is not answering my emails,1,177,Tech Support
119,Option to not send notifications for episode updates,65,93,Tech Support
120,Bad Gateway seems to be taken care of,2,72,Tech Support
121,Bad Gateway connection anyone else?,93,198,Tech Support
122,Banner instead of book cover or thumbnail shows when i post my comic in the tapas forum:,8,70,Tech Support
123,More total views than there actually is?,165,111,Tech Support
124,"My link is showing my old banner, not my new one (Problem solved)",23,65,Tech Support
125,NovelStar NovelStar NovelSpam,394,273,Tech Support
126,Subscribed comics disappear from my library,1,726,Tech Support
127,iPhone App Freezes on Home Page,87,57,Tech Support
128,So… I’m getting spammed,13,232,Tech Support
129,Errors in statistics - subscriptions and likes,218,110,Tech Support
130,The LIKE button,2,213,Tech Support
131,Tapas app opening by itself,99,118,Tech Support
132,Can’t remove series banner,13,103,Tech Support
133,Uh… I think I need halp,164,142,Tech Support
134,Plagiarism Over on Wattpad?,3,220,Tech Support
135,Genres and Variety,104,368,Tech Support
136,Problem with Title,2,121,Tech Support
137,Didn’t get the Ink I purchased after waiting for six days,130,105,Tech Support
138,The use of Gif’s in the app is not the same as on web?,3,65,Tech Support
139,Dashboard data?,53,74,Tech Support
140,"Hey, I need some help with a problem i have on create my series",6,107,Tech Support
141,Influx of Inappropriate Spam Comments,164,114,Tech Support
142,Hey why can’t I log in with my original account to the forums?,10,124,Tech Support
143,#0 in Tapas Best Collection,445,102,Tech Support
144,“Oops!” Error occurring while scrolling pages,0,95,Tech Support
145,Tapas not working on desktop?,58,118,Tech Support
146,"Total view, like, comments counters issue",2,67,Tech Support
147,Pop up Tapas error?,95,68,Tech Support
148,I can see someone’s scheduled episodes… Is this a glitch?,8,252,Tech Support
149,"Tapas down, what happened?",310,113,Tech Support
150,Website freeze at loading comments,4,68,Tech Support
151,PG-13 and 14A Ratings,70,163,Tech Support
152,Tapas app don’t send notification when someone updates their series,1,96,Tech Support
153,Date + timestamps for episodes list?,84,122,Tech Support
154,I cannot adjust text size for my novel via mobile app,4,118,Tech Support
155,Tapas Wall - Unable to post,154,81,Tech Support
156,Subscriber count showing 0 on new dashboard,22,145,Tech Support
157,Mobile App doesn’t open,168,69,Tech Support
158,Dear Tapas Family–Women’s History Month Banner Question,2,308,Tech Support
159,“Princess in the Rough” Free Episodes Retrieval Issue,157,145,Tech Support
160,So I’ve just unlocked ad revenue. Now what?,6,319,Tech Support
161,Can’t upload comic. Error wont go away,160,1.8k,Tech Support
162,"I can’t upload a thumbnail for my new episode, is this a bug?",3,84,Tech Support
163,Can’t use the center text option,78,122,Tech Support
164,Is this perhaps a error?,3,152,Tech Support
165,Why was my series marked “Mature”,158,271,Tech Support
166,I can no longer log in with Google on web,0,76,Tech Support
167,Whoa! Spacing issues galore,64,318,Tech Support
168,Scheduled post issue,4,67,Tech Support
169,Writing contests spam bots are a thing now apparently,124,125,Tech Support
170,“Write Your Story” Doesn’t Work Anymore,0,364,Tech Support
171,Tapas app bugs - Anyone else experiencing any?,39,77,Tech Support
172,Phantom Episode,8,112,Tech Support
173,New Novel editor - Italics CTRL button,155,107,Tech Support
174,Ugly Spacing Issues for Novelists,10,395,Tech Support
175,FEATURE REQUEST: Stats regarding the percentage of readers accesing Tapas from mobile devices VS the website,180,97,Tech Support
176,"Purchased Ink 7 Days Ago, but Didn’t Get It",1,64,Tech Support
177,Take long time to load comments on app?,77,50,Tech Support
178,Published episode shows up as a draft,2,63,Tech Support
179,Why is the first image appearing like that?,104,105,Tech Support
180,My comic not showing under fresh section,0,111,Tech Support
181,Tapas App Lagging,77,117,Tech Support
182,Please help! When I try to create my novel tapas says the URL is incorrect or incomplete,53,95,Tech Support
183,Positively Yours Manhwa Delayed?,751,139,Tech Support
184,Cannot login to mobile site,12,124,Tech Support
185,Is there a way to temporarily disable your account?,194,150,Tech Support
186,Not Allowing Me To Post Message,0,78,Tech Support
187,Spent more than wanted,63,132,Tech Support
188,Font issues with new novel episodes on app,1,141,Tech Support
189,Can’t log into Tapas account through Google,68,135,Tech Support
190,Using ProWritingAid on Tapas Glitch (?),1,79,Tech Support
191,Freezing and Crashing on Mobile Devices; Lag on Laptops,72,355,Tech Support
192,Issues with new Text Editor,8,203,Tech Support
193,Broken genre sorting lists for ‘sort by subscribers/likes’,133,106,Tech Support
194,Novel uploading error - System eating spaces,25,188,Tech Support
195,Bug when creating a new series,383,95,Tech Support
196,Unable to upload at ALL,1,75,Tech Support
197,HELP! Not able to schedule episode,78,96,Tech Support
198,Can’t log in through mobile browser,3,98,Tech Support
199,New Dashboard? Hiatus Button?,88,209,Tech Support
200,Unable to Edit Past Chapters,3,64,Tech Support
201,Activating ad revenue,118,1.3k,Tech Support
202,"Why is it scrollable, where there is enought space to fit screen",7,133,Tech Support
203,Tapas web is down or has long response time,125,107,Tech Support
204,Tables in Novels,4,151,Tech Support
205,Is it only me that sees this when i try to go to my dashboard on tapas,97,443,Tech Support
206,Loading Problem,1,65,Tech Support
207,New Dashboard Bug (?),63,111,Tech Support
208,Malfunctions since the site is updating?,0,82,Tech Support
209,“fresh” and “wait to read” filters not working on the app,56,115,Tech Support
210,Why won’t it mark these episodes as read?,12,109,Tech Support
211,Likes aren’t showing up?,229,221,Tech Support
212,Novels on Tapas app are constantly crashing,15,178,Tech Support
213,Having trouble commenting?,129,83,Tech Support
214,Problems with thumbnails,8,117,Tech Support
215,My novel doesn’t show in Fresh on the App,111,275,Tech Support
216,Tapas app algorithm,2,83,Tech Support
217,Novels Not Working on Mobile App (iPod Touch),134,86,Tech Support
218,Are Email Notifications A Thing?,11,123,Tech Support
219,Content blocked,219,177,Tech Support
220,Could a poetry genre be added?,5,82,Tech Support
221,Tapas usage gripes,84,307,Tech Support
222,Feature request: find Completed stories/comics,2,330,Tech Support
223,Change The Order Of Chapters!,102,250,Tech Support
224,Tapas main site is down?,1,144,Tech Support
225,A comic I bought is locked again,84,106,Tech Support
226,Liking episodes doesn’t change the heart icon,0,155,Tech Support
227,Tapas app on IOS ipad freezing,82,665,Tech Support
228,Beware of Spam Account,1,314,Tech Support
229,Tapas can’t view comic,124,144,Tech Support
230,Desktop GIFs & Soundcloud Feature,10,75,Tech Support
231,Not being awarded tapjoy ink even though it says it was awarded,123,111,Tech Support
232,Problem with Tapas account confirmation,5,98,Tech Support
233,Tapas contact email is incorrect,84,182,Tech Support
234,500 error when checking Activities,0,116,Tech Support
235,Can’t publish anything. Hmm,101,166,Tech Support
236,Need help with downloading my work,5,114,Tech Support
237,For Tapas to Implement a way to hide sidebar when reading half screen,177,69,Tech Support
238,Still Using Tapjoy? Lost Some Ink Rewards? READ THIS,13,172,Tech Support
239,Tapas app doesn’t load the comics,93,218,Tech Support
240,Is it possible to have two accounts with a same email?,0,109,Tech Support
241,My antivirus do not like Tapas,72,247,Tech Support
242,“Broken” Tapas app <update Dec 28th>,21,345,Tech Support
243,Is there Alt Text/Image Descriptions for comics?,198,205,Tech Support
244,Adjust the Notifications for Interactions on Your Work?,1,125,Tech Support
245,Episode not available on fresh section in the app,70,134,Tech Support
246,Anyone else having problems with tapas loading,5,190,Tech Support
247,Forums crashing badly!,111,152,Tech Support
248,App crashing at opening comic/novel,0,211,Tech Support
249,Chrome data breach?,65,140,Tech Support
250,Paypal Request Transfer,12,1.1k,Tech Support
251,Private or password protected comics/novels,273,218,Tech Support
252,Platform idea: Non-Episode uploads,4,168,Tech Support
253,I can’t see the tapas notifications. help!,726,106,Tech Support
254,Problems logging in,1,234,Tech Support
255,Will you be logged out of all devices if you change your password,57,86,Tech Support
256,Disabling Tapas official notifications?,9,578,Tech Support
257,Notifications for clicking likes,232,157,Tech Support
258,Site lagging - Badly,8,953,Tech Support
259,App is so slow I can’t read my episode,110,78,Tech Support
260,Link to my Comic is showing error 404?,15,118,Tech Support
261,Payment delayed by more than a month,213,181,Tech Support
262,Having an ‘Announcement’ tab for your story?,4,268,Tech Support
263,How do I change/edit my book cover?,118,148,Tech Support
264,I really wish for a Reading List option in the Library,5,110,Tech Support
265,Notifications are not Ads,103,277,Tech Support
266,Issue with purchasing remaining episodes for a completed series that is unlisted and no longer available on the app,2,195,Tech Support
267,Subbed content filter premium and free,142,252,Tech Support
268,Category Browsing Display Error,8,96,Tech Support
269,“Coming soon” page error,220,109,Tech Support
270,Someone is looking at updates before the post date?,27,128,Tech Support
271,403 Forbidden from Russia,368,183,Tech Support
272,"Android new update Error, app doesn’t work",4,133,Tech Support
273,Comment issues/ post errors,121,137,Tech Support
274,"I can remove my own comments from comment section, but not if they are replies to another comment",2,82,Tech Support
275,Can’t comment on main site,105,102,Tech Support
276,"Is this a BUG, a GLITCH OR SCRIPT USE?",0,168,Tech Support
277,Are surveys still available?,65,113,Tech Support
278,Can’t private message people on the main site,0,157,Tech Support
279,I can’t comment on any of the chapters?,74,858,Tech Support
280,Missing Account & Missing Ink,15,148,Tech Support
281,I can not support help! @ratique,107,270,Tech Support
282,Commenting on Tapas,2,128,Tech Support
283,iPhone App Crashing,114,865,Tech Support
284,Pictures in Novels,4,194,Tech Support
285,Some accounts seems to be accidentally deleted,124,917,Tech Support
286,Can’t write on walls,0,150,Tech Support
287,Can someone help me to explain? pleaseCan someone help me to explain?,102,194,Tech Support
288,Someone forgot write “;” in CSS,5,273,Tech Support
289,Has my Tapas account been deleted? HELP pls,95,279,Tech Support
290,Locked Out of Account? Trouble Commenting? Read Here!,3,988,Tech Support
291,RSS Feeds Gone?,118,2.7k,Tech Support
292,[Novel] Unable to publish Now [RESOLVED],1,190,Tech Support
293,Can’t purchase all locked chapters at once for a novel,67,172,Tech Support
294,Webtoon Removed one episode of mine on webtoon and I need to appeal,1,268,Tech Support
295,Tapas just blew up on me,68,311,Tech Support
296,Help for my account,8,202,Tech Support
297,Currency withdrawal,252,128,Tech Support
298,Co-authoring a novel,4,113,Tech Support
299,I can’t seem to make a comment on my page or reply to comments?,113,156,Tech Support
300,Resetting of the stats counter,0,161,Tech Support
301,HELP! Episode Order is glitching!,68,94,Tech Support
302,Error upon trying to purchase a chapter/Unable to Purchase a Chapter,6,199,Tech Support
303,Hacked Out of Account,163,149,Tech Support
304,Genshin Impact Ink,0,249,Tech Support
305,I cant upload any images,96,77,Tech Support
306,Having trouble commenting,4,111,Tech Support
307,Tapas Servey for Inks,122,202,Tech Support
308,Has my account been deleted?,19,218,Tech Support
309,Comments and likes being left on unreleased episodes!,118,243,Tech Support
310,Is it possible to unsub from Official announcements from Tapas?,0,274,Tech Support
311,Chapter published? CLOSED,81,137,Tech Support
312,Views and Likes not updating,16,99,Tech Support
313,Glitch on my series,145,128,Tech Support
314,Possible scammer?,0,265,Tech Support
315,Weird message post,69,355,Tech Support
316,Keep Getting this Comment Error,14,143,Tech Support
317,Question about the reward ads,308,105,Tech Support
318,Error when posting on subscribers page,6,109,Tech Support
319,Comic reading issue,145,296,Tech Support
320,Having trouble scheduling episodes,14,103,Tech Support
321,Tapastic App not working?,319,4.4k,Tech Support
322,Recent Problems with Free Ink Watch Videos on Mobile App,20,148,Tech Support
323,Can’t log in to Tapas forum,1.8k,339,Tech Support
324,Error Series sync failed and missing eps,10,87,Tech Support
325,Anyone else having issues with the website loading and being able to post comments on people’s pages?,84,161,Tech Support
326,Errors on Main Site,8,102,Tech Support
327,Anyone Else Experiencing Issues?,122,145,Tech Support
328,Randomly get error 500 on website,4,98,Tech Support
329,Views not updating?,152,189,Tech Support
330,Getting a lot of errors on Tapas (500s and others),9,139,Tech Support
331,Disgusting bot messages in my notifications,271,151,Tech Support
332,Scheduled chapters posted an hour late,5,101,Tech Support
333,Spammed by a Bot,76,136,Tech Support
334,Did anyone else receive spam messages on thier profile?,43,124,Tech Support
335,Current Spam Attack,318,1.4k,Tech Support
336,No link to the survey,1,124,Tech Support
337,This spamming nonsense needs to be addressed,67,174,Tech Support
338,"Disgusting Spam on my page. Please help, Tapas staff",4,326,Tech Support
339,Third person accessing private messages?,125,1.2k,Tech Support
340,Removing sex spam,10,1.0k,Tech Support
341,How is the sex spam still commenting when I blocked them?,364,174,Tech Support
342,Watching sex spam bot in real time,4,200,Tech Support
343,Help with bot spamming,77,150,Tech Support
344,Blocking Spammer,4,204,Tech Support
345,Annoying spam bots,112,142,Tech Support
346,"With these sex spam bots, is financial info secure?",4,193,Tech Support
347,The Soundcloud widget is stupid,107,314,Tech Support
348,I am being spammed in a super creepy way?,25,447,Tech Support
349,How to report a scammer? / block feature not working,395,456,Tech Support
350,Spam Bot Problems… Help?,2,752,Tech Support
351,Troll bots returning again?,97,660,Tech Support
352,Why can I not log into the forums with my main account?,0,98,Tech Support
353,Ad impression workings,64,196,Tech Support
354,Error when trying to upload a thumbnail for a new comic,2,399,Tech Support
355,"Can’t upload banner, thumbnail and cover",50,171,Tech Support
356,Webtoon uploading,2,150,Tech Support
357,iOS app crashes during purchase,63,121,Tech Support
358,How do I turn off all notifications except for chapter updates?,2,249,Tech Support
359,NonStop Timeout in mobile app,105,336,Tech Support
360,Reads data a bit weird,3,150,Tech Support
361,Problems with the forum,111,315,Tech Support
362,Having problems with Pen Pressure Sensitivity in Clip Studio. Can anyone help?,2,152,Tech Support
363,Comic image quality is terrible on ipad app?,117,131,Tech Support
364,Mobile web tap on menu bug,2,91,Tech Support
365,IOS Tapas app not loading?,95,820,Tech Support
366,“Watch Video” for ink on app doesn’t show 30 per hour only 10,1,319,Tech Support
367,Feature request: Autopost tools,139,146,Tech Support
368,How to set up email notifications?,7,119,Tech Support
369,Updated Episodes not loading for comics,124,102,Tech Support
370,"‘Coming Soon’ episodes, preview image from comic?",4,169,Tech Support
371,Does anyone know where the “promo code” section is on iPhone?,150,117,Tech Support
372,"“Oops, something went wrong” message every time",2,220,Tech Support
373,Embed my comic on my website?,78,190,Tech Support
374,How to give ink,2,631,Tech Support
375,Is there a way to reorder episodes?,132,205,Tech Support
376,Currently at the moment drawing a fancomic but I’m stuck,3,214,Tech Support
377,Tapas refused to give 7 day free starte pack,141,217,Tech Support
378,Free ink games issue,4,118,Tech Support
379,See farther back for notifications,135,94,Tech Support
380,What the hell is happening?,6,423,Tech Support
381,App constant timeouts,79,179,Tech Support
382,Model App Glitches,7,283,Tech Support
383,Should I get the new wacom mobile studio pro 13?,355,237,Tech Support
384,Multiple languages in Tapas,8,202,Tech Support
385,Scheduling a release in the past,203,155,Tech Support
386,Mobile web broken comments,2,172,Tech Support
387,Notifications not being sent when I update my comic,106,162,Tech Support
388,Comic does not appear on fresh page,9,171,Tech Support
389,Mobile Tapas Unfriendly with VPN,188,209,Tech Support
390,I need help sharing my work,2,194,Tech Support
391,Bug when I change browser text size when adding music,95,130,Tech Support
392,Title not searchable?,2,161,Tech Support
393,Not Getting Notifications,75,293,Tech Support
394,Activation E-Mail Not Sending?,3,121,Tech Support
395,Publishing Novel Chapter Not Working,96,154,Tech Support
396,Error in the comment section,0,242,Tech Support
397,Panel insertion,98,191,Tech Support
398,I’m not being rewared with the free ink even if the app says I did,5,242,Tech Support
399,Bug skipping episodes when scrolling?,209,120,Tech Support
400,Webtoons down ? Or just me?,1,200,Tech Support
401,iOS 13 Doesn’t work on WiFi (No Internet Connection),64,418,Tech Support
402,Help. My series is crashing in the episode order after I had removed some of the episodes,10,261,Tech Support
403,No forum on mobile?,1.3k,1.1k,Tech Support
404,Should my link image be using my Series Banner instead of my Thumbnail?,4,151,Tech Support
405,I can’t upload my webcomic to Webtoon. Looking for a fix,133,2.9k,Tech Support
406,Deleted episode(s) still appear on app,11,213,Tech Support
407,Novel text cuts off on desktop,107,197,Tech Support
408,"Why there is no image when I post a link, even to Tapas itself?",9,181,Tech Support
409,Scheduled Episodes Not Accessible to Public Day They are Published,151,171,Tech Support
410,I can not make a Support with ink,35,166,Tech Support
411,"Mature comics, Mobile vs Web",443,264,Tech Support
412,User icon on commentes in Internet Explore 11,2,129,Tech Support
413,Anyone else having issues link things properly?,65,141,Tech Support
414,Tapas page links aren’t working,4,365,Tech Support
415,The site has totally glitched out on me,111,205,Tech Support
416,Sudden influx of new subscribers (closed),1,211,Tech Support
417,Hovering title over image?,82,273,Tech Support
418,How to: Rich text in Tapas,3,320,Tech Support
419,Anyone else having this problem,115,167,Tech Support
420,Mobile Website Age Verification Not Working,6,227,Tech Support
421,Adding chapters in between,109,175,Tech Support
422,Tapas Mobile and Desktop Layout all messed up,13,296,Tech Support
423,I need help submitting a chapter,221,127,Tech Support
424,Webcomic link not showing preview?,4,204,Tech Support
425,My sub count is diffrent in 2 sections on the site? (Closed),178,130,Tech Support
426,Can’t read unlocked chapter - Traceless Knight (Episode 17),1,128,Tech Support
427,Cintiq 3 in 1 cable died!?,83,6.4k,Tech Support
428,"A concerned user, Help!",6,162,Tech Support
429,App update - Copy & Pasting (android),117,268,Tech Support
430,Strange Flaw while reading (Panels not showing up),19,150,Tech Support
431,Can not connect to mobile app,275,192,Tech Support
432,Inserting Images in Novels,0,682,Tech Support
433,Need this account deleted please!,83,214,Tech Support
434,Current Comment Spam Attack,1,1.8k,Tech Support
435,Scrolling frequently skips chapters,86,202,Tech Support
436,Help! My story is being invaded by bots!,4,213,Tech Support
437,"Tapas doesn’t work, it only shows the starting screen",123,155,Tech Support
438,Deleting forum account?,2,299,Tech Support
439,Tapas Mobile App wont let me spend ink,177,275,Tech Support
440,Premium Dashboard?,1,204,Tech Support
441,Spamming on content,82,511,Tech Support
442,Return of the SPAM,20,691,Tech Support
443,Bots commenting on all of my posts,307,201,Tech Support
444,Android App glitching to the wrong episodes! (Verified by audience and author),8,491,Tech Support
445,App crashes and won’t load comics and creators,330,1.5k,Tech Support
446,I can’t login to my account,14,226,Tech Support
447,‘The Box Summary’ Link not working in my forum posts,250,198,Tech Support
448,Problems with new Mac OS?,6,158,Tech Support
449,Something’s wrong,144,314,Tech Support
450,"Can’t change summaries, names or covers. (UPDATE)",2,207,Tech Support
451,Website and App currently unavailable,106,366,Tech Support
452,"Scroll bar disappears, shifting browser view, when mouse-over right-hand episode list in reader view",13,181,Tech Support
453,Uh-oh! Tapas app… buzzes! (fright),155,248,Tech Support
454,Does tapas not notify subscribers of a creator’s new series if the first episode was scheduled to publish after the series is created?,4,283,Tech Support
455,"Got 250 subscribers, but I don’t know how to activate the ink support",665,242,Tech Support
456,“Trending” bug?,18,277,Tech Support
457,App not showing the episode,314,238,Tech Support
458,Free episode gift error on the app?,2,261,Tech Support
459,Will Tapas be updating their website to https?,144,344,Tech Support
460,Lost all ads impressions,0,527,Tech Support
461,Pitch Submission Email,75,315,Tech Support
462,Episode order incorrect,1,380,Tech Support
463,Desktop URL - “Connection Is Not Private”,111,268,Tech Support
464,I think my view counter is broken,3,481,Tech Support
465,Character limit on ink messages too small?,98,230,Tech Support
466,Can’t delete comic because I deleted the account,11,471,Tech Support
467,Recieving 403 errors?,182,215,Tech Support
468,Default Not ‘All Genres’?,6,275,Tech Support
469,I can’t change my book cover :<,116,386,Tech Support
470,Comic chapter broken,3,229,Tech Support
471,Can’t access episode I already paid for,166,169,Tech Support
472,I bought 2$ worth of Ink and got nothing,9,273,Tech Support
473,Ink icon looks odd in app,114,304,Tech Support
474,Can’t upload picture! Help,0,312,Tech Support
475,Is there way how to delete my comment in comic from profile page?,69,759,Tech Support
476,Spam Commenters Abound,5,416,Tech Support
477,Helppp! i am being targeted,172,278,Tech Support
478,Spam comments on unpublished comics,1,1.4k,Tech Support
479,[closed] Staff is dealing with the bots,218,282,Tech Support
480,Bug with Liking Replies in a Comment Chain?,1,336,Tech Support
481,Please Staff! Implement an Illustration Option in Novels!,109,459,Tech Support
482,Book Cover Image Ratio,14,596,Tech Support
483,Mature Section - Help,247,482,Tech Support
484,Ink amount changed?,7,255,Tech Support
485,Easter egg hunt - unavaiable content in your country,345,281,Tech Support
486,Mature section on desktop web show all series unsubed,11,182,Tech Support
487,Dashboard Stats Graph Bug,205,325,Tech Support
488,Is there a way to add my artist as a co-creator?,4,194,Tech Support
489,Bookcover for UGC feature UI/UX,125,183,Tech Support
490,Can’t access episodes,5,173,Tech Support
491,Trying to Shrink Novel Images in Mobile,134,163,Tech Support
492,Dirty Vibration - availability,11,727,Tech Support
493,I can’t log in to the new website,190,187,Tech Support
494,Library contains comics I didn’t sub to - can’t unsub them either!,10,453,Tech Support
495,BGM on tapas app,152,252,Tech Support
496,Series banner won’t update?,4,218,Tech Support
497,My followers didn’t get notified when I published my latest episode,211,621,Tech Support
498,Tapas Unpublished Page Glitch,1,203,Tech Support
499,"Followers could view, comment and like Unpublished Scheduled Post",140,227,Tech Support
500,Can’t open any chapters for March Free Comics Day,9,184,Tech Support
501,Sorting comics by latest first,1.1k,255,Tech Support
502,Is Fresh Search Broken?,14,843,Tech Support
503,Tapastic’s Security Certificate Has Expired,218,2.6k,Tech Support
504,Since the Tapas redesign I can’t get to the Support overview page,4,344,Tech Support
505,"Broken log in button,",168,298,Tech Support
506,Dashboard is Different: A Bug Perhaps?,2,396,Tech Support
507,"Help, how do I fix this very peculiar Wacom tablet lag issue?",106,43.5k,Tech Support
508,Thumbnail/banner not showing up,16,330,Tech Support
509,Reached milestone for support but it wont activate,234,489,Tech Support
510,Italics and Bold not visible!,1,400,Tech Support
