,titles,replies,views,category
43,VERY IMPORTANT: Did anyone get contacted by Webnovel…?,80,326,Writing|Novels
44,Does anybody get writers anxiety?,13,128,Writing|Novels
45,Amazon Kindle Vella - TOS & Pros and Cons Discussion,272,405,Writing|Novels
46,Writing paralysis,16,113,Writing|Novels
47,When do you post your story/chapter?,168,186,Writing|Novels
48,Your favourite qoute from a novel?,0,99,Writing|Novels
49,I need help choosing a MC name,42,119,Writing|Novels
50,After a short hiatus,25,83,Writing|Novels
51,Tell us about your book!,214,247,Writing|Novels
52,"I want to improve, just don’t know how or where",3,114,Writing|Novels
53,How is Tapas for Novels?,89,863,Writing|Novels
54,Your crush finally confessed their love for you! Now it’s your turn,12,210,Writing|Novels
55,How often do you edit your chapters?,536,170,Writing|Novels
56,Do images work for every viewer or do you find some images are missing when you read?,17,81,Writing|Novels
57,What’s your thoughts on sex scenes in novels?,155,720,Writing|Novels
58,Action vs. Dialogue (+poll),51,106,Writing|Novels
59,Redeeming the Toxic Suitor,521,203,Writing|Novels
60,How to die (funny and unexpected way)?,20,250,Writing|Novels
61,First POV vs third POV for litrpg/gamer genre,264,63,Writing|Novels
62,Help me decide my next novel/novella! (Stuck on two ideas),14,64,Writing|Novels
63,Brainstorm Help,120,191,Writing|Novels
64,Seems like an interesting idea for a plot,10,75,Writing|Novels
65,Emotional wounds from characters and how to handle it,93,178,Writing|Novels
66,Villainess novels suggestion?,440,106,Writing|Novels
67,What’s your writer process?,17.6k,72,Writing|Novels
68,Contract offer | Advice needed!,13,165,Writing|Novels
69,What techniques do you employ to bring your characters to life?,118,244,Writing|Novels
70,A bunch of useful resources for writing,2,95,Writing|Novels
71,What is about a review that you like?,50,85,Writing|Novels
72,Share some of you favorite parts from you’re novel!,14,103,Writing|Novels
73,Anyone else writing slice of life / reading slice of life novels?,217,60,Writing|Novels
74,Changing the Setting,311,92,Writing|Novels
75,Novels on Tapas,10.3k,505,Writing|Novels
76,Do any authors on here have experience with the Libri app?,0,106,Writing|Novels
77,Proofreader needed for novel,49,162,Writing|Novels
78,Writers! What’s the one thing you feel like your writing/characters are incomplete without?,32,353,Writing|Novels
79,Would You Read This? (NEW EDIT),2.0k,160,Writing|Novels
80,What’s in a title,25,249,Writing|Novels
81,Planned Timeskip?!,296,126,Writing|Novels
82,Horror vs. Unease (+poll),5,158,Writing|Novels
83,I need some advice plz,97,249,Writing|Novels
84,Question About Scene in Novel? T^T,17,69,Writing|Novels
85,The beauty of weak characters,216,275,Writing|Novels
86,Works in progress for novels!,38,94,Writing|Novels
87,Food and Books. Let’s talk Cookbooks!,326,54,Writing|Novels
88,Looking for mythpoeia novels!,8,170,Writing|Novels
89,Thoughts on racism in fantasy works?,128,275,Writing|Novels
90,Stories you will never write,19,387,Writing|Novels
91,Your creation process,405,148,Writing|Novels
92,Less details= Bad story?,6,293,Writing|Novels
93,I’m new to writing and need tips,113,385,Writing|Novels
94,"Hello, Exposition, My Old Friend 😭🤦‍♂️ [Comics, Novels and All Writing in General]",19,224,Writing|Novels
95,Was writing easier for you when you were younger? (+poll),186,425,Writing|Novels
96,Let’s talk about trends,12,262,Writing|Novels
97,Can DM’s be a thing in novels?,99,220,Writing|Novels
98,List of your favourite novels on Tapas,12,62,Writing|Novels
99,"Hey, I’m bored. Share your novels with me!",119,1.8k,Writing|Novels
100,Recommend your favorite tapas novel!,2,276,Writing|Novels
101,"Character Description, how much?",83,246,Writing|Novels
102,Writers & artists of Tapas! What’s that one thing you’d never write/ draw even if you were getting paid for it?,38,455,Writing|Novels
103,How do you write a song that’s not about romance…?,247,163,Writing|Novels
104,So…I’ve been featured. What’s your biggest accomplishment as a creator?,8,457,Writing|Novels
105,Do you guys use art-breed in your work?,114,284,Writing|Novels
106,Pitch me your novels!,17,302,Writing|Novels
107,Conflicting Views on Immortality,863,161,Writing|Novels
108,Anyone keeping track of Novalstar comments?,27,329,Writing|Novels
109,How Do You Promote Your Novel?,210,2.7k,Writing|Novels
110,First time in Tapas,25,68,Writing|Novels
111,Any Radish Authors?,170,345,Writing|Novels
112,Discord Server for writers to interact and share their stories,8,62,Writing|Novels
113,Does music make a difference?,81,124,Writing|Novels
114,Need a second opinion on my prologue,67,63,Writing|Novels
115,Help/feedback needed with novel draft,720,38,Writing|Novels
116,"Alright, I applied for Premium",6,180,Writing|Novels
117,Help with interest check on BL Novel,106,49,Writing|Novels
118,Restarting Drafts,18,62,Writing|Novels
119,That day i became a star novel,203,364,Writing|Novels
120,Which idea do you think is better?,23,148,Writing|Novels
121,A New Beginning to My Story,250,53,Writing|Novels
122,A One Shot about Issues Prevalent in Countries Like Mine,13,129,Writing|Novels
123,Politics in Fiction (OPINIONS NEEDED),63,379,Writing|Novels
124,What is the best way to connect the readers with your lore?,0,107,Writing|Novels
125,First Chapter Rewrite or not? Please Help if You Can,64,122,Writing|Novels
126,Novel Swap! Introduce Your Novel!,21,2.8k,Writing|Novels
127,How do you stay in touch with the little details?,191,175,Writing|Novels
128,Ways to quickly develop a character,8,129,Writing|Novels
129,You and the boys are chilling in your captor’s basement. Wyd?,75,181,Writing|Novels
130,Just published my first few episodes of my novel. Post your new novel here too!,9,880,Writing|Novels
131,Who’s launching a new book this summer? Tell me about it! (social media promotion),178,37,Writing|Novels
132,The two sides of subversions,5,69,Writing|Novels
133,Daily Writing Check-in,106,6.6k,Writing|Novels
134,I Need Some Feedback on this Scene,7,128,Writing|Novels
135,Y’all looking for BL/GL novel suggestions? ‘Cause I am! (You may self-promote!),72,5.3k,Writing|Novels
136,Shameless self-promo,11,119,Writing|Novels
137,Interesting BL Novels in Tapas,165,1.1k,Writing|Novels
138,Thoughts on Novel Covers?,25,162,Writing|Novels
139,Modern mythology reading circle,244,84,Writing|Novels
140,Novel length: too wordy for online reading?,5,203,Writing|Novels
141,Is Tapas the best place to post long-chapter stories?,95,174,Writing|Novels
142,Recomienden sus novelas en español (Spanish novels),3,906,Writing|Novels
143,World Building. What’s unique in your setting?,85,223,Writing|Novels
144,Someone recommend good bl to me,12,113,Writing|Novels
145,Hidden Siblings?,103,152,Writing|Novels
146,PROMOTE your Stories! But only using the scariest scene!,1,321,Writing|Novels
147,Five Ways for Pansters to Plan,60,181,Writing|Novels
148,“What is mana?”,5,262,Writing|Novels
149,Making a villain a victim,92,216,Writing|Novels
150,Kindle Vella Update,38,395,Writing|Novels
151,How to fix a crappy story?,505,434,Writing|Novels
152,What Are Your Thoughts on Second Male Leads?,7,331,Writing|Novels
153,Looking for story building and writing advice!,106,241,Writing|Novels
154,Finding historical european maps HELP,8,84,Writing|Novels
155,Gaming the system,162,159,Writing|Novels
156,How do I get subscribers on Mangatoon,56,115,Writing|Novels
157,Post a passage relating to a word game,353,129,Writing|Novels
158,Review and sub’s for novel writer,10,277,Writing|Novels
159,Any advice for writing blurbs?,160,138,Writing|Novels
160,Recommend some novels related to business,23,84,Writing|Novels
161,Getting Your Character Voices “Right”?,249,176,Writing|Novels
162,Does Chapter Length Matter?,7,183,Writing|Novels
163,"If you have ADHD, check this out",126,142,Writing|Novels
164,HORROR WRITERS what inspires you to write?,10,119,Writing|Novels
165,New novel FIND YOU AGAIN,158,62,Writing|Novels
166,How to reach out readers?,19,120,Writing|Novels
167,What genre do you enjoy writing the most?,249,175,Writing|Novels
168,Choosing A Genre from a strategic position,3,151,Writing|Novels
169,Bublish (an interesting site I stumbled upon),69,115,Writing|Novels
170,Is Prolific Problematic?,24,379,Writing|Novels
171,Top Web Fiction Invites!,275,106,Writing|Novels
172,Recommend me template for book,9,66,Writing|Novels
173,Amazon now doing web novels,94,143,Writing|Novels
174,Historical Fiction Category?,12,347,Writing|Novels
175,First page of my draft novel <3,54,76,Writing|Novels
176,Flex Your Achievements!,8,243,Writing|Novels
177,Recommend Me Stories! — Connecting Avid Readers and Emerging Authors,170,1.7k,Writing|Novels
178,Why you should watch more than just kids’ shows,22,199,Writing|Novels
179,Google Drive or Microsoft Word?,275,248,Writing|Novels
180,Looking for Joseon novels,31,106,Writing|Novels
181,Thinking about converting my comic into a novel,387,100,Writing|Novels
182,First Draft Rant,12,188,Writing|Novels
183,Hello First Time Writers,148,108,Writing|Novels
184,Is it nomal to lose motivation when writing a second draft?,18,164,Writing|Novels
185,Should You Edit/Revamp Published Chapters?,293,209,Writing|Novels
186,I have chosen my next BL novel to publish on Tapas! MC sketch inside ;),12,138,Writing|Novels
187,Advice for new (SFW) romance writers,385,179,Writing|Novels
188,Question on changing the setting,14,133,Writing|Novels
189,How to get out of a writing rut?,224,169,Writing|Novels
190,Worth Updating Episode 1,26,90,Writing|Novels
191,"Hello there! I’m looking for someone to help me translate my story from Spanish to English. (Shared rev, 50/50)",425,110,Writing|Novels
192,Drop an unreleased portion of your novel,12,156,Writing|Novels
193,"Favourite chapter of your story, briefly explain why",262,246,Writing|Novels
194,Share Omegaverse and mpreg novels/stories,17,596,Writing|Novels
195,Need Help With An Idea I have for My BL Novel?,220,155,Writing|Novels
196,Promote someone else’s web novel here!,2,859,Writing|Novels
197,2k words a day challenge?,62,119,Writing|Novels
198,Need Novel illustrations?,164,104,Writing|Novels
199,Read for Read or Critique for Critique!,1.8k,228,Writing|Novels
200,Post your bite-sized episode one here and i’ll read and subscribe to those i find interesting,25,240,Writing|Novels
201,2 Months of Publishing,276,180,Writing|Novels
202,Slow burn or nah?,34,232,Writing|Novels
203,I’m not exactly sure how to write my story the way I want to,246,109,Writing|Novels
204,Need some help coming up with a name for something,72,95,Writing|Novels
205,Kakao and Radish,455,208,Writing|Novels
206,Post novels that aren’t yours,17,71,Writing|Novels
207,Bright Morn of Issareth down,163,86,Writing|Novels
208,Fun Facts Shared With Your Readers,21,172,Writing|Novels
209,Why do you like writing?,457,297,Writing|Novels
210,How did you choose your protagonist’s sword?,13,184,Writing|Novels
211,What bad habits are you trying to lose?,284,166,Writing|Novels
212,Yes you can post to Vella from free sites - with conditions,30,150,Writing|Novels
213,At the mercy of the reader,302,323,Writing|Novels
214,I would like some critique please!,8,108,Writing|Novels
215,Pantsers… when the muse drops on you big time,161,139,Writing|Novels
216,Any Plotters Around?,32,267,Writing|Novels
217,Show vs Tell Advice - Getting the timing right,329,119,Writing|Novels
218,Novel Description Feedback,45,125,Writing|Novels
219,"ADHD in you, in me, and our writing",2.7k,173,Writing|Novels
220,"Feedback Needed, Pretty Please!",2,185,Writing|Novels
221,Can somebody please help with my series!?,68,138,Writing|Novels
222,Other platforms for novels,10,283,Writing|Novels
223,Is this scene too short or too long?,345,92,Writing|Novels
224,I’ll draw your OC if you,0,126,Writing|Novels
225,Closing of the Amazon Vella thread,62,101,Writing|Novels
226,Let me write a scene for your character (0/3),9,270,Writing|Novels
227,Scene study and why you might want to take an acting class,124,69,Writing|Novels
228,“Backhanded” Compliments,5,243,Writing|Novels
229,Amazon vs Wattpad,63,431,Writing|Novels
230,New spam for writer alert,0,69,Writing|Novels
231,How rhythmic is your writing?,38,90,Writing|Novels
232,Short story ideas,5,133,Writing|Novels
233,Snappy real life comeback lines in life and writing. Share here,180,89,Writing|Novels
234,A keep-you-on-egde supernatural BL novel,0,62,Writing|Novels
235,On getting an advance on a book,49,137,Writing|Novels
236,What do you enjoy about rewriting?,2,84,Writing|Novels
237,Waiting for Novelstar,62,170,Writing|Novels
238,Would You Read My New BL Novel?,4,78,Writing|Novels
239,My Book check it out !1,364,60,Writing|Novels
240,Amazon Kindle Vella (part 2),10,141,Writing|Novels
241,Is it okay to write folk-tale based stories?,148,148,Writing|Novels
242,So how are dealing with your covers?,0,274,Writing|Novels
243,Testing for plagiarism,53,213,Writing|Novels
244,Younger Writers - How to Sound “Adult”?,3,136,Writing|Novels
245,Tips on Writing Dialogue,129,168,Writing|Novels
246,Feedback on my dialogue. Is this dialogue boring?,36,119,Writing|Novels
247,Secret Challenge,379,92,Writing|Novels
248,How do authors write?,7,90,Writing|Novels
249,Places to advertise web novels,107,152,Writing|Novels
250,"Chapter 10 Milestone, Promoting my Isekai light novel, Check it out",6,61,Writing|Novels
251,The Authors voice out in the real world,122,150,Writing|Novels
252,Does your writing style bore your readers?,122,232,Writing|Novels
253,"Trope Talk, Let’s go one step up",2.8k,207,Writing|Novels
254,Name your novel/comic as if it was a light novel,15,204,Writing|Novels
255,TV option negotiations,175,117,Writing|Novels
256,The one word idea behind your story,7,412,Writing|Novels
257,Writing Jam 2.0 (Novels Only),129,527,Writing|Novels
258,Is my writing style okay?,12,68,Writing|Novels
259,Motivation to Write,181,115,Writing|Novels
260,A bit of a weird ethical sitch,66,179,Writing|Novels
261,Nervous about taking the plunge,880,119,Writing|Novels
262,What fun things do you do for your fellow writers?,0,76,Writing|Novels
263,How Much Should You Rewrite?,37,216,Writing|Novels
264,Wild Speculation,0,146,Writing|Novels
265,Is It Okay to Post Fanfiction?,69,103,Writing|Novels
266,“You’re not a good writer”,1.2k,361,Writing|Novels
267,Having a “rant” mate and why it’s important,6.6k,119,Writing|Novels
268,Fantasy (Especially Dark Fantasy) Recommendations for Articles,6,92,Writing|Novels
269,Accepting each other,128,132,Writing|Novels
270,Plotter or Panster? Which are you?,83,297,Writing|Novels
271,Writing styles? First person vs Third Person? Past vs Present? Mental Fortitude,5.3k,191,Writing|Novels
272,Requests for short stories of main series from readers - opinions?,2,86,Writing|Novels
273,Weeb fanfic novelists,119,147,Writing|Novels
274,I want to write my own book,40,172,Writing|Novels
275,Writing Fictional Towns,1.1k,147,Writing|Novels
276,Writing rant: Novel edition,7,399,Writing|Novels
277,Question about pitching to tapas,162,201,Writing|Novels
278,How Do You Deal With Writer’s Block?,2,334,Writing|Novels
279,Harsh Truths about Writing,84,214,Writing|Novels
280,Fantasy story: Do I have to teach a lesson?,30,178,Writing|Novels
281,Would you read a story based on card battles?,203,72,Writing|Novels
282,Battle Shonen fans (I’m promoting my novel inspired by it and to chat),8,80,Writing|Novels
283,Character Motivation,174,187,Writing|Novels
284,Greek Mythology stories,9,1.3k,Writing|Novels
285,How to convey dehumanizing tone?,906,134,Writing|Novels
286,Rejection- How do you view it?,28,183,Writing|Novels
287,Contemporary YA Writers/Novels,223,135,Writing|Novels
288,Sketchy(-ish) Recruits on Comment Sections?,3,90,Writing|Novels
289,Fantasy/Sci-fi Writers Assemble! (Share your novels!),113,966,Writing|Novels
290,I need yall thoughts about my poem,8,78,Writing|Novels
291,"Novels with music, wanna here your playlist",152,89,Writing|Novels
292,"Sunday reading, reading your first chapters (CLOSED)",36,319,Writing|Novels
293,"Hello, everybody!",321,97,Writing|Novels
294,Popular tags. What tags are you using?,9,130,Writing|Novels
295,Editing Talks with Books,181,123,Writing|Novels
296,Feedback On My Novel Descriptions,24,77,Writing|Novels
297,What is Tapas word count limit for Novel Chapter uploads?,262,78,Writing|Novels
298,"Writing Punches, pushes and fights",5,110,Writing|Novels
299,"Tips for Pantsing, Plantsing, or Literary Gardening",216,88,Writing|Novels
300,Motivation for writers,60,227,Writing|Novels
301,Are you planning on turning your writing into an audiobook?,395,101,Writing|Novels
302,How graphic is M rated in Tapas?,32,116,Writing|Novels
303,Best Social Media Outlets To Promote Novels,434,139,Writing|Novels
304,For novels specifically but comic creators feel free to chime in!,22,151,Writing|Novels
305,Feeling blah and bored. Show me your novels,331,325,Writing|Novels
306,Creating plots for a queer romance,14,152,Writing|Novels
307,New To Making Covers- ADVICE NEEDED,241,176,Writing|Novels
308,Writing BL Novels?,15,201,Writing|Novels
309,"Covers for a series I am working on, what do you think?",84,157,Writing|Novels
310,How do you write numbers?,13,122,Writing|Novels
311,"One Month, 5 Chapters",159,145,Writing|Novels
312,What’s the last Paragraph You Wrote?,5,221,Writing|Novels
313,What was the latest chapter or episode you wrote?,115,121,Writing|Novels
314,"New Creator here again, Proper Introduction",18,63,Writing|Novels
315,I just finished uploading the most important chapter of my story so far! AND I’M EXCITED!,129,75,Writing|Novels
316,Emotion-linked powers: love ‘em or hate ‘em? (+poll),4,173,Writing|Novels
317,Some musings on whether to write a series or not,277,61,Writing|Novels
318,Referral of good battle game (physical) w/board & men,11,56,Writing|Novels
319,Overuse of some filler words,138,132,Writing|Novels
320,Remember that really bad story you wrote when you were ten?,3,194,Writing|Novels
321,Repetitive words (not filler words),84,104,Writing|Novels
322,How Did You Choose Your Novel Title?,20,330,Writing|Novels
323,Let’s discuss about your novel’s magic system,176,261,Writing|Novels
324,Starting a sentence with “and” or “but”,15,174,Writing|Novels
325,Fantasy writers… an art prompt for you today,183,109,Writing|Novels
326,Have a favorite paragraph that inspires you to write more?,2,62,Writing|Novels
327,Showing “Behavior” to Writing,142,110,Writing|Novels
328,Positive Vibes please?,14,155,Writing|Novels
329,Does My Novel Fit Tapas’s Readerbase,119,187,Writing|Novels
330,Writing Short Stories,0,111,Writing|Novels
331,Make predictions about my story’s plot development!,62,75,Writing|Novels
332,How much blood can I put in a chapter before it needs a mature rating?,1,75,Writing|Novels
333,Writers… How Hungry are you?,120,206,Writing|Novels
334,To sequel or not to sequel.,17,100,Writing|Novels
335,When research pays off in an odd way,175,132,Writing|Novels
336,Tapas Novel Recommendations based on Category,7,2.9k,Writing|Novels
337,Establishing a Mystery,151,122,Writing|Novels
338,In what style is your story written?,0,360,Writing|Novels
339,Struggling to Write Second Novel,115,167,Writing|Novels
340,COVER SHOP!(Only for novels),13,449,Writing|Novels
341,Do you also draw art for your novel? Show it here!,379,1.0k,Writing|Novels
342,Question About Writing A Series,7,276,Writing|Novels
343,What would be considered too graphic for a sex scene?,106,218,Writing|Novels
344,Emotional Connections,3,159,Writing|Novels
345,POLL: Do you have a playlist you listened to when you’re writing? Please comment to explain,66,842,Writing|Novels
346,Children’s Novels on Tapas?,4,95,Writing|Novels
347,Tropes: zombies genre,143,199,Writing|Novels
348,History was made in Feb. and March for Black authors and Female Authors,41,78,Writing|Novels
349,Chrome extension to paste into Tapas while preserving italics/bold!,347,960,Writing|Novels
350,Discussion. How to depict nobility and royalty?,2,220,Writing|Novels
351,How to write a “quiet” love scene,76,257,Writing|Novels
352,Comprehensive list on scheduling; opinions and reasons for the opinions,31,88,Writing|Novels
353,Dystopian Societies in Sci-Fi,243,120,Writing|Novels
354,Sometimes you have to crow,162,92,Writing|Novels
355,What are ‘queer themes’?,1.7k,144,Writing|Novels
356,To series or not to series… an article that might help,6,99,Writing|Novels
357,"Thanking subscribers, people who leave likes?",199,171,Writing|Novels
358,New Book or New Season?,29,68,Writing|Novels
359,Mobile/Editing Question,248,90,Writing|Novels
360,Sweet moments in BL,3,287,Writing|Novels
361,Writers’ Upload Schedule & Algorithm,106,119,Writing|Novels
362,Man vs Supernatural conflict,4,127,Writing|Novels
363,The importance of accepting yourself and laughter,100,135,Writing|Novels
364,"Those who have been featured, how did it effect your story?",16,432,Writing|Novels
365,"Unwise projects, failed attempts and other embarrassing things we created",188,404,Writing|Novels
366,Inspiration in Nature!,6,125,Writing|Novels
367,List one or two well-known works that are similar to your book,108,154,Writing|Novels
368,The importance of thinking short,7,228,Writing|Novels
369,What other story structures are there…?,164,172,Writing|Novels
370,Interactive Story,18,95,Writing|Novels
371,Symbolism in your novel,209,319,Writing|Novels
372,From novel to screenplay changes,3,90,Writing|Novels
373,Quick question:,138,176,Writing|Novels
374,Pros and Cons of Short/Long Form Storytelling,7,160,Writing|Novels
375,Admin / Tech thank you for the new dashboard,179,110,Writing|Novels
376,Anyone use Inkspired?,10,148,Writing|Novels
377,I just finished my first web novel!,133,102,Writing|Novels
378,How much profanity is allowed before you add the mature label?,9,207,Writing|Novels
379,Happy New Years! Share your novels here and let’s check each other out :D,169,279,Writing|Novels
380,Getting subscribers,3,790,Writing|Novels
381,"Give Me Your Romance Novels! Steamy, Clean, or Fluffy I Want Em!",90,537,Writing|Novels
382,Storytelling Jamboree,6,135,Writing|Novels
383,Looking for critique!,110,139,Writing|Novels
384,How do you feel about first person POV novels? (Poll),15,204,Writing|Novels
385,💖 Valentine’s Staff Picks Selection 💖,156,352,Writing|Novels
386,Top Web Fiction is Back!,24,268,Writing|Novels
387,"Do you write novels in first person, third person, or something else?",246,195,Writing|Novels
388,Editing & Revising,9,214,Writing|Novels
389,Cool Codenames for Characters,596,118,Writing|Novels
390,Any Advice For Starting a Novel On Tapas?,14,241,Writing|Novels
391,"Multiple book series, one book complete… or not",155,66,Writing|Novels
392,Slow burn romance (comics too),25,435,Writing|Novels
393,Self-Publishing Trolls,859,168,Writing|Novels
394,Character ideas,27,169,Writing|Novels
395,Envy vs Jealousy and other words mistaken for each other,119,321,Writing|Novels
396,Anyone else find this advertisement in the comments on their novels?,5,238,Writing|Novels
397,Longest time writing,104,186,Writing|Novels
398,To Prologue or not to Prologue… are you a fan or not?,23,592,Writing|Novels
399,Readability checkers - what grade level are your novels,228,364,Writing|Novels
400,"As a reader, what entices YOU?",22,261,Writing|Novels
401,"Teens as basically kids, or basically adults? (+poll)",240,422,Writing|Novels
402,When you find the embodiment of a character,8,237,Writing|Novels
403,Does anyone else like to let their characters write themselves?,180,156,Writing|Novels
404,Any New Novelists Out There?,14,8.7k,Writing|Novels
405,Writing group? Jan 2021,232,66,Writing|Novels
406,Recommendations Wanted In Exchange for Free Subs!,5,562,Writing|Novels
407,What is Your Endgame?,109,331,Writing|Novels
408,Valentine’s Staff Pick Chance for Novelists!,4,990,Writing|Novels
409,A thread of writing ideas :D,95,155,Writing|Novels
410,How do you reveal that your characters are aliens…?,11,79,Writing|Novels
411,Question About Editing,208,136,Writing|Novels
412,Writing elderly characters… a surprise,2,162,Writing|Novels
413,Why do we love to classify people (in fiction)?,71,183,Writing|Novels
414,Are title “flourishes” ever really necessary?,3,315,Writing|Novels
415,Get ready for Halloween! “The Shadows in Runrick” - Re-upload,86,185,Writing|Novels
416,Give me wholesome chapter ideas!,24,60,Writing|Novels
417,Tips for Creating Emotional Impact,172,131,Writing|Novels
418,(T/F)’Negative character traits are actually their positive traits turned up to 11’,33,245,Writing|Novels
419,Genre Diversity Discussion,297,448,Writing|Novels
420,Hemingway app - online editing,36,75,Writing|Novels
421,Are you ever scared that you’ll accidently retcon your own story?,184,200,Writing|Novels
422,How do you guys plan out your stories?,20,419,Writing|Novels
423,Share Your Favourite Moments From Your BL Novels 💕,166,175,Writing|Novels
424,Do you experience (in your mind) what you’re writing?,2,321,Writing|Novels
425,Picking the Tropes to Use,150,118,Writing|Novels
426,I’m doing romance research- Help?,25,143,Writing|Novels
427,Can I use it as a story tool?,323,128,Writing|Novels
428,Should I give up posting novels to Tapas?,2,545,Writing|Novels
429,Grammarly just for kicks and… I don’t think so,108,185,Writing|Novels
430,Writers and Readers! Which communities are best?,8,219,Writing|Novels
431,How do you organize a visual novel script?,139,129,Writing|Novels
432,Characters Fainting,38,227,Writing|Novels
433,Best ROMANCE Tropes,267,954,Writing|Novels
434,Naming Characters,10,182,Writing|Novels
435,What do you think when you see this girl?,119,335,Writing|Novels
436,Story Planner–a helpful site to plan your stories on!,4,101,Writing|Novels
437,"Word Counts, why?",125,238,Writing|Novels
438,Where do you put Tapas on your road to success?,37,484,Writing|Novels
439,New Novel Projects 2021!,173,278,Writing|Novels
440,How do you plan/map our your comic/novel?,26,358,Writing|Novels
441,"Attention all parents, and others: can you read my short story?",185,131,Writing|Novels
442,Give feedback on my fantasy cover please,13,149,Writing|Novels
443,How do you feel about talking animals?,138,183,Writing|Novels
444,Writers/Novelists: What do you offer when an ink goal is reached?,32,84,Writing|Novels
445,Images in novels?,283,128,Writing|Novels
446,A hypothetical emergency childcare situation,5,169,Writing|Novels
447,Throw Back Story,92,89,Writing|Novels
448,I keep getting writer’s block OTL,2,105,Writing|Novels
449,Changing Cast Lists,126,95,Writing|Novels
450,NOVELS: Guidelines for pitching to Premium,0,5.5k,Writing|Novels
451,Writing programs like “Grammarly” creating homogenous writing?,101,337,Writing|Novels
452,Words to use instead of “Said”,34,280,Writing|Novels
453,Writers check this out!,270,223,Writing|Novels
454,Changing Characters’ POVs,5,233,Writing|Novels
455,Discussing polyamory in writing,69,270,Writing|Novels
456,Announcement to my dear readers from the unkownuser24 regarding The blood wars,21,148,Writing|Novels
457,"Punctuation, grammar and spelling are important",243,301,Writing|Novels
458,Time saving tools for writing,56,282,Writing|Novels
459,How Do You Make Something Visceral?,431,188,Writing|Novels
460,"I lost a bet, now I have to write some BL",0,215,Writing|Novels
461,50+ Chapter Novels!,69,474,Writing|Novels
462,Hard Copy requests,4,168,Writing|Novels
463,Final Countdown Read 4 Read / Support 4 Support,90,156,Writing|Novels
464,Someone help me with my logline. Please!,10,131,Writing|Novels
465,Will eventually be re-writing my book… should I keep the first draft?,133,114,Writing|Novels
466,Help Naming a Character,10,101,Writing|Novels
467,I made a behind the scenes mini comic(?) for promotion!,89,57,Writing|Novels
468,Second Series for the Museum,0,116,Writing|Novels
469,How do you choose your character names?,62,317,Writing|Novels
