,titles,replies,views,category
71,Should i redraw my first chapters?,141,167,Reviews|Feedbacks
72,Post your novel/comics and get an honest review,10,1.6k,Reviews|Feedbacks
73,"I’ll review your stuff, but I won’t say anything positive (really busy can’t review right now)",146,938,Reviews|Feedbacks
74,Requesting some feedback on my upcoming comic’s art style,15,242,Reviews|Feedbacks
75,Is My Story Description Good?,160,93,Reviews|Feedbacks
76,I Will Review Your Novels (The Stalker Watch),6,525,Reviews|Feedbacks
77,Pls give me a feedback about my comic,153,85,Reviews|Feedbacks
78,Scathing Critiques For Free,38,288,Reviews|Feedbacks
79,Please help by giving feedback,341,86,Reviews|Feedbacks
80,Please Help a Tapas Newbie,7,158,Reviews|Feedbacks
81,Looking for Japanese Sensitivity Readers,79,122,Reviews|Feedbacks
82,I want some feedback on my batman and spider-man crossover fan comic,100,102,Reviews|Feedbacks
83,May I have some feedback please?,967,87,Reviews|Feedbacks
84,"Finally finished the first big battle of my series, any thoughts about it?",1,114,Reviews|Feedbacks
85,Please help me out! Should I change the first couple episodes?,64,69,Reviews|Feedbacks
86,Giving some Novel Critiques,9,576,Reviews|Feedbacks
87,Need feedback on Romance/Comedy webtoon,118,76,Reviews|Feedbacks
88,Calliope Magazine Feedback Survey,0,61,Reviews|Feedbacks
89,[CLOSED 3/3] Giving your comic honest feedback/reviews,92,1.8k,Reviews|Feedbacks
90,What makes certain new comic titles popular?,15,161,Reviews|Feedbacks
91,Is my comic art good enough to bring to a convention?,185,216,Reviews|Feedbacks
92,New Novel Description? HALP o_O,0,103,Reviews|Feedbacks
93,[CLOSED] Could Someone Help Me With My Novel’s Description?,73,84,Reviews|Feedbacks
94,Help me pick a new cover please!,3,157,Reviews|Feedbacks
95,[CLOSED] HELP! I need someone to give me feedback on my new book,87,86,Reviews|Feedbacks
96,Tomato Playing Basketball With A Potted Plant,3,475,Reviews|Feedbacks
97,Character design critique/review,85,174,Reviews|Feedbacks
98,[CLOSED] Can Someone Give Me A Review/Feedback For This Chapter,65,99,Reviews|Feedbacks
99,Looking for one someone to pre-read my chapters before posting (closed),449,67,Reviews|Feedbacks
100,Looking for a Beta Reader (CLOSED! Found one!),0,75,Reviews|Feedbacks
101,Anxious author looking for help 👀,54,170,Reviews|Feedbacks
102,[CLOSED] I Need Someone to Review My Novel,4,110,Reviews|Feedbacks
103,Unsure and could use reviews/ feedback,68,161,Reviews|Feedbacks
104,Anyone wanna review my comic?,4,113,Reviews|Feedbacks
105,"Slow subscribers, Am I doing something wrong?",94,218,Reviews|Feedbacks
106,Is this chapter confusing? Looking for feedback,14,108,Reviews|Feedbacks
107,Does my art look bad? What ways can I improve?,294,112,Reviews|Feedbacks
108,Whatcha got? Looking to Read and Review!,7,1.6k,Reviews|Feedbacks
109,General Feedback Lounge,125,198,Reviews|Feedbacks
110,Critique my new comic pages,5,134,Reviews|Feedbacks
111,The Mysterious Galaxy,106,72,Reviews|Feedbacks
112,Feedback on my comic’s pacing?,5,84,Reviews|Feedbacks
113,Critique and Feedback on my Novel’s Description,128,74,Reviews|Feedbacks
114,*Burr voice* Let me offer you some free advice,1,585,Reviews|Feedbacks
115,Thoughts on my Plot Description?,101,190,Reviews|Feedbacks
116,Review request for Secret Challenge,8,94,Reviews|Feedbacks
117,Seeking some advice!,130,144,Reviews|Feedbacks
118,"Cover feedback, please owo",8,101,Reviews|Feedbacks
119,[Poll] Do you like this style?,121,174,Reviews|Feedbacks
120,Will you review this please? I need feedback!,4,162,Reviews|Feedbacks
121,Review cover of new BL comic,106,81,Reviews|Feedbacks
122,First Finished Artwork,3,183,Reviews|Feedbacks
123,Review my webnovel and I’ll review yours,133,101,Reviews|Feedbacks
124,Review my comic pretty please,2,72,Reviews|Feedbacks
125,YAY! Feedback for Feedback!,58,222,Reviews|Feedbacks
126,(CLOSED) Looking for feedback on a 3-Page Short Comic Script,7,135,Reviews|Feedbacks
127,How can I make my cover art less boring?,127,373,Reviews|Feedbacks
128,I’ll review your comic/novel (5/5),6,122,Reviews|Feedbacks
129,"Read & Review Mine, I’ll Read and Review Yours *My Novel is Mature Rated*",88,226,Reviews|Feedbacks
130,"I’ll review your comic! (CLOSED, something private came up",1,161,Reviews|Feedbacks
131,Feedback on my artistic masterpiece,64,200,Reviews|Feedbacks
132,Review my comic please,8,108,Reviews|Feedbacks
133,Feedback for First Draft,102,55,Reviews|Feedbacks
134,Looking for feedback on my short GL story,10,54,Reviews|Feedbacks
135,Looking for a Reviewer (Unpaid),136,112,Reviews|Feedbacks
136,Looking for Feedback on my Webtoon!,18,98,Reviews|Feedbacks
137,Help a newbie with genres?,231,149,Reviews|Feedbacks
138,"I don’t normally ask feedback but i really need to know i putting too much detail or not enough detail in my Novel, MY NOVEL IS Mature> so you been warned",13,148,Reviews|Feedbacks
139,All About Feedback!,246,186,Reviews|Feedbacks
140,Nuevo cómic y nuevo episodio!,90,86,Reviews|Feedbacks
141,Review swap? Come! I have cookies!,520,92,Reviews|Feedbacks
142,Feedback on novel’s 1st paragraph,16,92,Reviews|Feedbacks
143,TEAMUWU wants feedback on new look for comic,167,254,Reviews|Feedbacks
144,Feedback thread : Synopsis,99,69,Reviews|Feedbacks
145,Looking for honest reviews on my comic!,1.6k,198,Reviews|Feedbacks
146,Any thought or reviews on this new episode of my shonen/seinen like comic,65,55,Reviews|Feedbacks
147,Feedback for novel thumbnail?,938,92,Reviews|Feedbacks
148,First digital drawing please give me some feedback,14,220,Reviews|Feedbacks
149,Calling all small comic artists!,242,17.1k,Reviews|Feedbacks
150,Review my comic,1,101,Reviews|Feedbacks
151,Hey tapas! new here~ Looking for a “beta reader” for my pages!,93,123,Reviews|Feedbacks
152,Which cover do you prefer?,56,240,Reviews|Feedbacks
153,Share the rough color layers of your art & I’ll give you my description!,525,108,Reviews|Feedbacks
154,Critique my work!,0,206,Reviews|Feedbacks
155,Feedback On Cover Please?,85,146,Reviews|Feedbacks
156,Would anyone be interested in a workshop group?,15,104,Reviews|Feedbacks
157,Feedback and Reviews exchange?,288,121,Reviews|Feedbacks
158,Opinions on Progress?,17,106,Reviews|Feedbacks
159,Feedback on summary? Does this “hook” you in?,86,100,Reviews|Feedbacks
160,Slow subscribes on my comic,12,341,Reviews|Feedbacks
161,Character Arc (“Healing” the Lone Wolf),158,151,Reviews|Feedbacks
162,Feedback on Paragraph,2,97,Reviews|Feedbacks
163,Is my novel boring?,122,172,Reviews|Feedbacks
164,Looking for Feedback. Along with new webtoons to read!,3,110,Reviews|Feedbacks
165,My Horror Comic is Completed! I’d love your feedback!,102,100,Reviews|Feedbacks
166,Critiquing First Chapters! A hit or a miss?,1,668,Reviews|Feedbacks
167,Read a Train.lets get reading,87,101,Reviews|Feedbacks
168,Roast my comic or give constructive feedback,2,89,Reviews|Feedbacks
169,Please Critique My Oneshot Comic,114,131,Reviews|Feedbacks
170,Roast my art (with a purpose) [closed],4,251,Reviews|Feedbacks
171,Please give me brutally honest feedback,69,308,Reviews|Feedbacks
172,I’ll review your comic ;) (CLOSED) (Will open again soon),55,985,Reviews|Feedbacks
173,Feedback on my fanfic novel,576,63,Reviews|Feedbacks
174,"I finally updated my comic again, looking for feedback",3,58,Reviews|Feedbacks
175,Feedback on my webnovel,76,43,Reviews|Feedbacks
176,New version superpower of very hot Watson&Holmes,0,55,Reviews|Feedbacks
177,Looking for feedback on my new fantasy novel,61,88,Reviews|Feedbacks
178,Just finished my first Chapter- looking for feedback,90,76,Reviews|Feedbacks
179,"Just expanded on some lore and character development in my series, I think you’ll find it interesting(hopefully :D)",1.8k,50,Reviews|Feedbacks
180,Nearly halfway done my comic. Wouldn’t mind some general feedback and if you want I can give you some as well on your own story?,7,108,Reviews|Feedbacks
181,Red Episode Rewrites,161,53,Reviews|Feedbacks
182,Opinion on our comic Marina Mafia,9,58,Reviews|Feedbacks
183,"Need feedback and honest critics for my comic, please",216,224,Reviews|Feedbacks
184,What do you think as of right now?,8,175,Reviews|Feedbacks
185,"Hello Would love feedback and reviews on my comic, Dragon Tofu",103,109,Reviews|Feedbacks
186,You just found a hidden gem (shhh don’t tell) [closed I have a compleat team now],5,415,Reviews|Feedbacks
187,My story Blade of the Devil,84,109,Reviews|Feedbacks
188,A feedback and review would be helpful,12,162,Reviews|Feedbacks
189,I’m making an African based character (help please!),157,476,Reviews|Feedbacks
190,The Grand Six - Feedback/Reviews,3,73,Reviews|Feedbacks
191,New vs old thumbnail,86,133,Reviews|Feedbacks
192,Just finished my first Arc - Let’s review it!,2,55,Reviews|Feedbacks
193,Feedback for background?,475,143,Reviews|Feedbacks
194,Looking for feedback on my fantasy story[NOVEL] Feedback in exchange,3,118,Reviews|Feedbacks
195,I need feedback pleaseeeeeeeeeee,174,105,Reviews|Feedbacks
196,Could I Receive Some Feedback On My Novel?,3,98,Reviews|Feedbacks
197,"Been working on my comic font, hope its better now?",99,91,Reviews|Feedbacks
198,"I’ve made adjustments to my comic font, its good…… right?",1,212,Reviews|Feedbacks
199,What’s holding my series back?,67,218,Reviews|Feedbacks
200,I Need Feedback!,1,143,Reviews|Feedbacks
201,Can we have a completed section for comics please,75,148,Reviews|Feedbacks
202,Does this summary make you want to read the story?,11,171,Reviews|Feedbacks
203,I need feedback (webtoon),170,135,Reviews|Feedbacks
204,Link me your series and I will critique it,4,995,Reviews|Feedbacks
205,Detailed feedback to the first 10 posts (Comics only),110,275,Reviews|Feedbacks
206,I want feedback for my webtoon!,13,266,Reviews|Feedbacks
207,Second opinions please! Should I keep the episode order the way it is or change it?,161,89,Reviews|Feedbacks
208,Announcement & Your Opinions,2,202,Reviews|Feedbacks
209,Comic Video Trailer Feedback,113,102,Reviews|Feedbacks
210,"Critique, Feedback, and discuss my Webtoon Summary",9,101,Reviews|Feedbacks
211,Story Summary. Require Feedback/Constructive Critisism,218,173,Reviews|Feedbacks
212,Is My Writing Dry? [Novel],7,127,Reviews|Feedbacks
213,Critique my first chapter,108,163,Reviews|Feedbacks
214,Give Feedback to the Novel/Comic Above You,5,338,Reviews|Feedbacks
215,Seeking/Offering Cover Feedback,112,93,Reviews|Feedbacks
216,Review Exchange #1 (1/3),91,159,Reviews|Feedbacks
217,Comic/Novel Critique - Get feedback on your work,1.6k,305,Reviews|Feedbacks
218,Editing Chapters,16,78,Reviews|Feedbacks
219,Review For Review Dark Edition!,198,181,Reviews|Feedbacks
220,New to site looking for reviews,12,86,Reviews|Feedbacks
221,Looking for feedback on Guardium: a sci-fi epic,134,113,Reviews|Feedbacks
222,[Topic is Closed by OP],4,101,Reviews|Feedbacks
223,Need some feedback for my new novel,72,116,Reviews|Feedbacks
224,"Struggling with my comics, any advices about this?",3,390,Reviews|Feedbacks
225,Looking for Feedback on The Pirate’s Chronicle,84,73,Reviews|Feedbacks
226,A polite invitation to my Universe,3,623,Reviews|Feedbacks
227,Which genre do you think my comic fits into best?,74,128,Reviews|Feedbacks
228,Finished up writing a comic and I wouldn’t mind some feedback on the pages done so far,46,113,Reviews|Feedbacks
229,Can you give me honest feedback on my new novel?,585,111,Reviews|Feedbacks
230,Can you rate my new cover?,16,219,Reviews|Feedbacks
231,"Step by Step, Process of making Comis, webcomics, manga",190,92,Reviews|Feedbacks
232,Thoughts on my webcomic series’ season 2 so far? Seeking opinions,1,256,Reviews|Feedbacks
233,Wanting feedback,94,181,Reviews|Feedbacks
234,Looking for Feedback on my story hook,7,66,Reviews|Feedbacks
235,"Feedback on Pacing, Please?(Novel)",144,102,Reviews|Feedbacks
236,How many pages do you prefer per episode?[CLOSED],12,263,Reviews|Feedbacks
237,Huge change of scenary from chap 1 to chap 2. Does it affect the story?,101,115,Reviews|Feedbacks
238,Cat Club end of episode 2! How did I do?,12,116,Reviews|Feedbacks
239,I Spent a Year and a Half Redrawing My Comic. Tell Me How I Did,174,238,Reviews|Feedbacks
240,Need Help For A Better Word Choice,11,147,Reviews|Feedbacks
241,"Could I get a review for this episode please, I made it action centered",162,90,Reviews|Feedbacks
242,Critiques of recent episode,4,85,Reviews|Feedbacks
243,I Need Some Help for Writing,81,186,Reviews|Feedbacks
244,Being recommended to un-mature my series?,12,143,Reviews|Feedbacks
245,Webcomic Review & Feedback Appreciated,183,100,Reviews|Feedbacks
246,I finished Chapter Two in time for the New Year! Feedback appreciated < 3,13,87,Reviews|Feedbacks
247,I’m 5 chapters into my series and wanted feedback,101,107,Reviews|Feedbacks
248,Reformatting comic for mobile?,0,99,Reviews|Feedbacks
249,Review: Diary of the Wolf Queen,72,94,Reviews|Feedbacks
250,Can anyone review this chapter before i publish it?,26,77,Reviews|Feedbacks
251,Review for review (for comic creators),222,531,Reviews|Feedbacks
252,We’re offering free expertise in writing/editing comics… ♥,6,118,Reviews|Feedbacks
253,Info dump or not?,135,207,Reviews|Feedbacks
254,I Review & Interview Comic Creators on Youtube!,21,167,Reviews|Feedbacks
255,Sifi and slice of life on person,373,148,Reviews|Feedbacks
256,Do you need a beta reader?,18,161,Reviews|Feedbacks
257,Ko-Fi | What to do? (FEEDBACK),122,151,Reviews|Feedbacks
258,Do you like lots of dialogue or few dialogue in comics,16,320,Reviews|Feedbacks
259,Please hellllp! xc help critiquing my manga so i can hurry n make it cool already xc,226,140,Reviews|Feedbacks
260,Is it funny? I need serious criticism,14,204,Reviews|Feedbacks
261,Critique for Comic Short,161,111,Reviews|Feedbacks
262,Should I restart my comic? Trading feedback for feedback,15,204,Reviews|Feedbacks
263,Could you review my comic,200,99,Reviews|Feedbacks
264,"Looking for thumbnail review/feedback for my novel (BL,romance)",5,120,Reviews|Feedbacks
265,Feedback on Scene,108,139,Reviews|Feedbacks
266,Feedback on my webtoon,1,144,Reviews|Feedbacks
267,Need help with important scene i want to get right (Any tips or tricks?),55,136,Reviews|Feedbacks
268,Read for read for newer authors[Fantasy/Novels],0,115,Reviews|Feedbacks
269,📚 Can you help us by giving feedback on our interactive romance reading app? Thank you! 📚,54,81,Reviews|Feedbacks
270,Help with cover ideas,6,124,Reviews|Feedbacks
271,What do you think of my antagonist’s characterisation and my comic episodes,112,125,Reviews|Feedbacks
272,I will review the first few chapters of your Comic!,2,291,Reviews|Feedbacks
273,Post your comics down below for others to see!,98,1.4k,Reviews|Feedbacks
274,I’d love your thoughts before I get too far,6,199,Reviews|Feedbacks
275,Read my first chapter and give me feed back,149,153,Reviews|Feedbacks
276,I’m back and ready for your feedback ^^,4,110,Reviews|Feedbacks
277,Novel Review Request Thread,148,300,Reviews|Feedbacks
278,So I reached 30 chapters. Paid review anyone? Space left 4/5,9,190,Reviews|Feedbacks
279,Vibe review in exchange of 15 likes (Thanks! I’m closing it.),186,258,Reviews|Feedbacks
280,New Comic Writer here! I need help to review my comic series. So I will know how to improve it in the future,8,112,Reviews|Feedbacks
281,New Spooky Peacemaker Chronicles (2020) Episode! Reviews,86,94,Reviews|Feedbacks
282,What do you think of my font size (mobile)?,7,150,Reviews|Feedbacks
283,I need feedback on my story,92,124,Reviews|Feedbacks
284,Is anyone interested in review for review,4,139,Reviews|Feedbacks
285,Looking to praise some comics!,92,4.2k,Reviews|Feedbacks
286,Reviewing Three Comics!,11,836,Reviews|Feedbacks
287,Feedback would be Appreciated,254,279,Reviews|Feedbacks
288,I will give my opinon on your series [CLOSED],0,361,Reviews|Feedbacks
289,Feedback on My New Novel,69,140,Reviews|Feedbacks
290,New artist here - looking for advice/feedback on my first comic (“:,6,243,Reviews|Feedbacks
291,New to posting my stories — Please give an honest review!,198,165,Reviews|Feedbacks
292,Could you review my webcomic?,0,299,Reviews|Feedbacks
293,Reading Some Fantasy/Romance Comics!,55,862,Reviews|Feedbacks
294,I will review the First Two Chapters of your series [Closed!],6,944,Reviews|Feedbacks
295,I would love feedback on my Webtoon,92,123,Reviews|Feedbacks
296,Reviews needed for a novel,17,156,Reviews|Feedbacks
297,Looking for feedback on my two comics (Halloween related),220,88,Reviews|Feedbacks
298,Seeking opinions on my webcomic! Mystery/Thriller/Drama,340,153,Reviews|Feedbacks
299,I’ll REVIEW your comic! I’ll do it!,17.1k,1.5k,Reviews|Feedbacks
300,Comic similar to Bleach needs feedback,10,164,Reviews|Feedbacks
301,New comic artist on Tapas,101,192,Reviews|Feedbacks
302,New in here can you review my comic please,3,148,Reviews|Feedbacks
303,"Need reveiws …Knights Chronicles ,",123,134,Reviews|Feedbacks
304,Please review my new artwork for my super hero comic Lions Den,14,127,Reviews|Feedbacks
305,Review-ception!,240,418,Reviews|Feedbacks
306,"Just uploaded my first combat only episode, pls could i get some thoughts about it",2,170,Reviews|Feedbacks
307,Review for Review/Read for Read on ANY chapter,108,698,Reviews|Feedbacks
308,Let me review your comic,16,1.8k,Reviews|Feedbacks
309,Come get your reviews!,206,6.0k,Reviews|Feedbacks
310,Fresh Hot Comic Reviews!,12,1.0k,Reviews|Feedbacks
311,Get your Red comic reviews right here (Maybe it is over? Not sure?),146,1.7k,Reviews|Feedbacks
312,"Meaty Reviews Season 1 (Post your Comic, Get a Meaty Review) (Finished)",7,3.8k,Reviews|Feedbacks
313,Peacemaker Chronicles (2020) Tell me your thoughts and opinions!,104,108,Reviews|Feedbacks
314,Looking for beta readers for my comic script,7,154,Reviews|Feedbacks
315,Review Mallory Bash for use in studio pitches,121,461,Reviews|Feedbacks
316,Give me your underrated BL stuff now! I need it!,3,723,Reviews|Feedbacks
317,Youtube Comic Reviews! [NEW VIDEO],106,528,Reviews|Feedbacks
318,It’s a review train,6,265,Reviews|Feedbacks
319,Comic peer-review,100,287,Reviews|Feedbacks
320,Anyone want to review my comic?,23,196,Reviews|Feedbacks
321,Looking for a new series to read. Maybe even yours,341,742,Reviews|Feedbacks
322,Chapter review ‘cause it’s fun for me [CLOSED],1,637,Reviews|Feedbacks
323,I’ll Promote BL | M-Preg | Omegaverse | on my YouTube Channel,151,219,Reviews|Feedbacks
324,Please Critique my Webtoon Series,10,105,Reviews|Feedbacks
325,I will critique/praise your comic if you critique/praise mine,97,143,Reviews|Feedbacks
326,Comic Critique / Thoughts,9,129,Reviews|Feedbacks
327,I like to hear your thoughts about my webcomic!,172,130,Reviews|Feedbacks
328,Review my Series Thumbnail,11,156,Reviews|Feedbacks
329,First attempt at a short story,110,135,Reviews|Feedbacks
330,Will you review my opening chapter?,2,172,Reviews|Feedbacks
331,Tell me what you “DON’T” like about my comic,100,230,Reviews|Feedbacks
332,I’ve started a podcast and I’m looking for comics to review,65,457,Reviews|Feedbacks
333,Monthly Comic Reviews!,668,359,Reviews|Feedbacks
334,Give me your opinion of my comic and I’ll do the same for yours!,2,247,Reviews|Feedbacks
335,Subscribe and give your opinion on the series tapas.io,101,307,Reviews|Feedbacks
336,Praising Your Comics: Vol III,2,869,Reviews|Feedbacks
337,I want to promote YOUR comic on Youtube!,89,7.2k,Reviews|Feedbacks
338,New webcomics [SIMPLEMINDED],6,159,Reviews|Feedbacks
339,Post your comics about animals and review mine!,131,105,Reviews|Feedbacks
340,Can anyone give a review about my webcomics please?,15,528,Reviews|Feedbacks
341,Hi guys! Got my very first video review!,251,151,Reviews|Feedbacks
342,Let’s start a review train! (novels),8,2.4k,Reviews|Feedbacks
343,I’ll review your comic,308,801,Reviews|Feedbacks
344,What do you think of this cover?,72,209,Reviews|Feedbacks
345,I’ll read and review your first chapter!,985,449,Reviews|Feedbacks
346,Cheese Hunters: New update,1,160,Reviews|Feedbacks
347,Offering Comic Critiques! [CLOSED: GO TO THE NEW THREAD!],63,5.8k,Reviews|Feedbacks
348,SWEET WIND - A new series,0,178,Reviews|Feedbacks
349,Concept art of my character,58,280,Reviews|Feedbacks
350,I just finnish my first chapter! I’ll love some reviews,0,312,Reviews|Feedbacks
351,Cheese Hunters 5 : NEW UPDATE,43,120,Reviews|Feedbacks
352,Pomote yourself but tell me what you think about my comic,0,232,Reviews|Feedbacks
353,Seeking reviews for my Pitch-in-Progress,55,182,Reviews|Feedbacks
354,"Please, review my new chapter!",2,164,Reviews|Feedbacks
355,"Not growing, can I have some feedback?",88,301,Reviews|Feedbacks
356,"Hello, I am Adriano",2,213,Reviews|Feedbacks
357,Mind reviewing my comic,76,386,Reviews|Feedbacks
358,Praising Your Comics: Vol II!,0,1.4k,Reviews|Feedbacks
359,Review train! We keep the train going by reviewing each other’s stories. (Rules at top),50,1.6k,Reviews|Feedbacks
360,New font vs old font,5,251,Reviews|Feedbacks
361,I’ll review your comics (under 10 subs),108,1.1k,Reviews|Feedbacks
362,Review for review?,0,392,Reviews|Feedbacks
363,Looking for constructive criticism for my webcomic,53,337,Reviews|Feedbacks
364,Feedback please . Thank you very much. Anyone who wants feedback this is your thread now,0,343,Reviews|Feedbacks
365,Looking for reviews on my novel!,58,161,Reviews|Feedbacks
366,Full Grammar/Style Review for Views,10,164,Reviews|Feedbacks
367,Looking for reviews on my novel,224,307,Reviews|Feedbacks
368,Looking again for Feedback,6,300,Reviews|Feedbacks
369,The Great Book Club (Weekly review exchange! + Book of the Week & Book of the Month),175,308,Reviews|Feedbacks
370,Pls review the comedy of my comic,5,186,Reviews|Feedbacks
371,"Anyone interested in reviewing my comic this far (paid review, cash, ink whatever)",109,1.4k,Reviews|Feedbacks
372,Please review my first manga comic,32,164,Reviews|Feedbacks
373,New to Tapas–seeking feedback on my traditional comic book,415,222,Reviews|Feedbacks
374,What do you think about my comic so far,8,475,Reviews|Feedbacks
375,Review and reads for a novel,109,213,Reviews|Feedbacks
376,I’ll read and give my opinion on your comic if you do the same for me,6,632,Reviews|Feedbacks
377,I made a surreal scifi toon,162,196,Reviews|Feedbacks
378,Have you ever seen Disney zombie 2?,35,198,Reviews|Feedbacks
379,Review my comic? JETX,476,366,Reviews|Feedbacks
380,Zener is up for Review!,0,174,Reviews|Feedbacks
381,What do you understand from my story?,73,254,Reviews|Feedbacks
382,I’ll review your scripts,9,603,Reviews|Feedbacks
383,"New to Webtoons, is my comic lacking?",133,625,Reviews|Feedbacks
384,"Please, criticize my comic",0,264,Reviews|Feedbacks
385,Any Volunteers? ( Review one of our comics) ( CLOSED),55,238,Reviews|Feedbacks
386,I will review the first 8 novels who comment! (8/8),10,856,Reviews|Feedbacks
387,Offering random thoughts and observations about your webcomic,143,1.4k,Reviews|Feedbacks
388,May I get some feedback for the season 1 finale?,5,270,Reviews|Feedbacks
389,Looking for Beta-Readers/Critique,118,571,Reviews|Feedbacks
390,Professional Review of Cosmic Fish,0,206,Reviews|Feedbacks
391,New Series (INK for a review),105,619,Reviews|Feedbacks
392,Tablet suggestion (Guide),2,1.0k,Reviews|Feedbacks
393,I finished my first ever chapter!,98,280,Reviews|Feedbacks
394,"Just finished my latest season, would love feedback",2,224,Reviews|Feedbacks
395,Why do a lot of Artists recommend Wacom?,91,4.0k,Reviews|Feedbacks
396,Need feedback for BL project [NEW WEBTOON],6,466,Reviews|Feedbacks
